Site,Year,Siteyr,Trt,Subsample,AMBEL,mAMBEL,CHEAL,mCHEAL,AMBTR,mAMBTR,AMATU,mAMATU
Arlington,2019,ARL19,NTC,1,1,10.8,,,,,,
Arlington,2019,ARL19,NTC,2,2,21.5,,,,,,
Arlington,2019,ARL19,NTC,3,3.5,37.7,,,,,,
Arlington,2019,ARL19,NTC,4,4.5,48.4,,,,,,
Arlington,2019,ARL19,PRE,1,0.5,5.4,,,,,,
Arlington,2019,ARL19,PRE,2,0.5,5.4,,,,,,
Arlington,2019,ARL19,PRE,3,0.5,5.4,,,,,,
Arlington,2019,ARL19,PRE,4,0.5,5.4,,,,,,
Janesville,2019,ROK19,NTC,1,,,,,26.5,285.2,,
Janesville,2019,ROK19,NTC,2,,,,,13.5,145.3,,
Janesville,2019,ROK19,NTC,3,,,,,28.5,306.8,,
Janesville,2019,ROK19,NTC,4,,,,,24.5,263.7,,
Janesville,2019,ROK19,PRE,1,,,,,15,161.5,,
Janesville,2019,ROK19,PRE,2,,,,,12,129.2,,
Janesville,2019,ROK19,PRE,3,,,,,20,215.3,,
Janesville,2019,ROK19,PRE,4,,,,,25,269.1,,
Lancaster,2019,LAN19,NTC,1,,,0.5,5.4,,,,
Lancaster,2019,LAN19,NTC,2,,,3,32.3,,,,
Lancaster,2019,LAN19,NTC,3,,,3.5,37.7,,,,
Lancaster,2019,LAN19,NTC,4,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,1,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,2,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,3,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,4,,,0,0.0,,,,
Brooklyn,2019,BRO19,NTC,1,,,,,,,270,2906.3
Brooklyn,2019,BRO19,NTC,2,,,,,,,243.5,2621.0
Brooklyn,2019,BRO19,NTC,3,,,,,,,182.5,1964.4
Brooklyn,2019,BRO19,NTC,4,,,,,,,232,2497.2
Brooklyn,2019,BRO19,PRE,1,,,,,,,16.5,177.6
Brooklyn,2019,BRO19,PRE,2,,,,,,,20.5,220.7
Brooklyn,2019,BRO19,PRE,3,,,,,,,6.5,70.0
Brooklyn,2019,BRO19,PRE,4,,,,,,,25.5,274.5
Lancaster,2018,LAN18,NTC,1,,,3,32.3,,,,
Lancaster,2018,LAN18,NTC,2,,,2.5,26.9,,,,
Lancaster,2018,LAN18,NTC,3,,,2.5,26.9,,,,
Lancaster,2018,LAN18,NTC,4,,,7.5,80.7,,,,
Lancaster ,2018,LAN18,PRE,1,,,0.5,5.4,,,,
Lancaster ,2018,LAN18,PRE,2,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,3,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,4,,,0,0.0,,,,
Janesville,2018,ROK18,NTC,1,,,,,5.5,59.2,,
Janesville,2018,ROK18,NTC,2,,,,,1,10.8,,
Janesville,2018,ROK18,NTC,3,,,,,3,32.3,,
Janesville,2018,ROK18,NTC,4,,,,,9,96.9,,
Janesville,2018,ROK18,PRE,1,,,,,2.5,26.9,,
Janesville,2018,ROK18,PRE,2,,,,,1.5,16.1,,
Janesville,2018,ROK18,PRE,3,,,,,2,21.5,,
Janesville,2018,ROK18,PRE,4,7.5,80.7,,,,,,
Arlington,2018,ARL18,NTC,1,0,0.0,,,,,,
Arlington,2018,ARL18,NTC,2,2.5,26.9,,,,,,
Arlington,2018,ARL18,NTC,3,3,32.3,,,,,,
Arlington,2018,ARL18,NTC,4,2,21.5,,,,,,
Arlington,2018,ARL18,PRE,1,0,0.0,,,,,,
Arlington,2018,ARL18,PRE,2,0.5,5.4,,,,,,
Arlington,2018,ARL18,PRE,3,1,10.8,,,,,,
Arlington,2018,ARL18,PRE,4,1,10.8,,,,,,
