datetime,hours,isoil temp,msoil temp,i30cm temp,m30cm temp,rh,iair temp,mair temp,irain,mrain,dir,iwind gust,mwind gust,iwind,spd
2019-06-21 09:15,0.25,83.4,28.6,75.4,24.1,56.2,66.5,19.2,0,0,111,7,3.12928,4,1.78816
2019-06-21 09:30,0.5,69.7,20.9,74.8,23.8,55.3,67.3,19.6,0,0,104,9,4.02336,4,1.78816
2019-06-21 09:45,0.75,69.9,21.1,76.6,24.8,55.4,67.4,19.7,0,0,98,10,4.4704,5,2.2352
2019-06-21 10:00,1,71.9,22.2,75.3,24.1,55.3,67.5,19.7,0,0,103,10,4.4704,5,2.2352
2019-06-21 10:15,1.25,73.6,23.1,77.2,25.1,54.1,68.6,20.3,0,0,94,9,4.02336,4,1.78816
2019-06-21 10:30,1.5,74.9,23.8,76.1,24.5,55.9,68.6,20.3,0,0,103,8,3.57632,4,1.78816
2019-06-21 10:45,1.75,75.7,24.3,77.3,25.2,53.4,69.1,20.6,0,0,93,9,4.02336,5,2.2352
2019-06-21 11:00,2,76.5,24.7,77.7,25.4,52.8,69.7,20.9,0,0,101,13,5.81152,5,2.2352
2019-06-21 11:15,2.25,77.2,25.1,79.6,26.4,51.9,70.4,21.3,0,0,88,9,4.02336,5,2.2352
2019-06-21 11:30,2.5,78.2,25.7,80.1,26.7,53.2,70.8,21.6,0,0,91,10,4.4704,5,2.2352
2019-06-21 11:45,2.75,78.7,25.9,78.7,25.9,53,70.6,21.4,0,0,93,11,4.91744,6,2.68224
2019-06-21 12:00,3,78.8,26.0,78.7,25.9,53.3,70.6,21.4,0,0,98,11,4.91744,6,2.68224
2019-06-21 12:15,3.25,79.4,26.3,81,27.2,51.1,72,22.2,0,0,86,12,5.36448,6,2.68224
2019-06-21 12:30,3.5,81,27.2,82.4,28.0,50.8,72.5,22.5,0,0,83,11,4.91744,6,2.68224
2019-06-21 12:45,3.75,82.1,27.8,81.4,27.4,50.2,72.4,22.4,0,0,86,12,5.36448,6,2.68224
2019-06-21 13:00,4,83.4,28.6,83.5,28.6,48.3,73.1,22.8,0,0,86,13,5.81152,7,3.12928
2019-06-21 13:15,4.25,85.1,29.5,84.2,29.0,48,74.1,23.4,0,0,79,14,6.25856,6,2.68224
2019-06-21 13:30,4.5,86,30.0,82,27.8,50.3,73.1,22.8,0,0,104,15,6.7056,7,3.12928
2019-06-21 13:45,4.75,85.6,29.8,80.7,27.1,48.3,73.3,22.9,0,0,98,14,6.25856,7,3.12928
2019-06-21 14:00,5,85.7,29.8,80.3,26.8,49.1,72.9,22.7,0,0,98,12,5.36448,7,3.12928
