datetime,hours,isoil temp,msoil temp,i30cm temp,m30cm temp,rh,iair temp,mair temp,irain,mrain,dir,iwind gust,mwind gust,iwind,spd
2019-07-09 08:45,0.25,82.4,28.0,72.7,22.6,75.8,70.3,21.3,0.06,1.524,86,6,2.68224,3,1.34112
2019-07-09 09:00,0.5,86.2,30.1,81.7,27.6,74.3,71.8,22.1,0,0,46,6,2.68224,2,0.89408
2019-07-09 09:15,0.75,74.8,23.8,81.9,27.7,72.8,72.7,22.6,0,0,59,6,2.68224,3,1.34112
2019-07-09 09:30,1,75.3,24.1,81.8,27.7,71,73.9,23.3,0,0,67,7,3.12928,3,1.34112
2019-07-09 09:45,1.25,75.9,24.4,80.5,26.9,69.1,74.8,23.8,0,0,69,9,4.02336,4,1.78816
2019-07-09 10:00,1.5,76.5,24.7,81.9,27.7,68.5,75.5,24.2,0,0,70,8,3.57632,5,2.2352
2019-07-09 10:15,1.75,77.2,25.1,82.1,27.8,68.8,76.4,24.7,0,0,80,11,4.91744,5,2.2352
2019-07-09 10:30,2,77.9,25.5,80.5,26.9,67.2,76.8,24.9,0,0,96,11,4.91744,6,2.68224
2019-07-09 10:45,2.25,78.8,26.0,80.7,27.1,67.2,77.4,25.2,0,0,98,10,4.4704,6,2.68224
2019-07-09 11:00,2.5,79.9,26.6,81.5,27.5,66.8,78.1,25.6,0,0,93,10,4.4704,6,2.68224
2019-07-09 11:15,2.75,81.2,27.3,82.3,27.9,66.6,78.8,26.0,0,0,94,11,4.91744,6,2.68224
2019-07-09 11:30,3,82.4,28.0,82,27.8,65.9,79.1,26.2,0,0,101,12,5.36448,7,3.12928
2019-07-09 11:45,3.25,83.3,28.5,82.9,28.3,66.4,79.7,26.5,0,0,94,11,4.91744,6,2.68224
2019-07-09 12:00,3.5,84.1,28.9,82.1,27.8,67.1,78.9,26.1,0,0,93,12,5.36448,6,2.68224
2019-07-09 12:15,3.75,83.4,28.6,80.6,27.0,69.3,78.5,25.8,0,0,81,11,4.91744,6,2.68224
2019-07-09 12:30,4,83.5,28.6,84,28.9,68.3,80.2,26.8,0,0,83,11,4.91744,5,2.2352
2019-07-09 12:45,4.25,84.3,29.1,84,28.9,67.1,80.4,26.9,0,0,94,12,5.36448,6,2.68224
2019-07-09 13:00,4.5,84.7,29.3,82.7,28.2,67.3,80.7,27.1,0,0,94,11,4.91744,6,2.68224
2019-07-09 13:15,4.75,85.6,29.8,84.5,29.2,66.3,81,27.2,0,0,91,14,6.25856,7,3.12928
2019-07-09 13:30,5,85.8,29.9,83,28.3,68.5,79.9,26.6,0,0,76,10,4.4704,5,2.2352
2019-07-09 13:45,5.25,85.7,29.8,83.4,28.6,68.4,80.3,26.8,0,0,86,10,4.4704,5,2.2352
2019-07-09 14:00,5.5,85.6,29.8,83,28.3,65.6,81.3,27.4,0,0,100,11,4.91744,6,2.68224
2019-07-09 14:15,5.75,85.9,29.9,82.8,28.2,65.4,81.4,27.4,0,0,105,11,4.91744,6,2.68224
2019-07-09 14:30,6,86.8,30.4,86,30.0,64.5,82.7,28.2,0,0,88,12,5.36448,6,2.68224
2019-07-09 14:45,6.25,88.1,31.2,87.2,30.7,64.4,83.3,28.5,0,0,81,12,5.36448,7,3.12928
2019-07-09 15:00,6.5,89.1,31.7,86.6,30.3,64,82.2,27.9,0,0,77,13,5.81152,7,3.12928
2019-07-09 15:15,6.75,88.6,31.4,86,30.0,62,82.6,28.1,0,0,76,15,6.7056,8,3.57632
2019-07-09 15:30,7,88.3,31.3,86.2,30.1,61.5,82.4,28.0,0,0,74,13,5.81152,8,3.57632
