datetime,hours,isoil temp,msoil temp,i30cm temp,m30cm temp,rh,iair temp,mair temp,irain,mrain,dir,iwind gust,mwind gust,iwind,spd,,
2019-07-16 08:45,0.25,79.5,26.4,78.1,25.6,76.4,75.9,24.4,0,0,50,9,4.02336,4,1.78816,,
2019-07-16 09:00,0.5,81.4,27.4,79.1,26.2,75.2,76.5,24.7,0,0,60,8,3.57632,4,1.78816,,
2019-07-16 09:15,0.75,80.8,27.1,80.1,26.7,73.3,78.1,25.6,0,0,244,8,3.57632,4,1.78816,,
2019-07-16 09:30,1,82.2,27.9,80.9,27.2,72,78.7,25.9,0,0,204,7,3.12928,4,1.78816,,
2019-07-16 09:45,1.25,83.3,28.5,81.5,27.5,71.4,79,26.1,0,0,225,9,4.02336,3,1.34112,,
2019-07-16 10:00,1.5,82.4,28.0,81.1,27.3,71,78.9,26.1,0,0,217,7,3.12928,3,1.34112,,
2019-07-16 10:15,1.75,83.5,28.6,82.5,28.1,69.3,80.3,26.8,0,0,187,7,3.12928,4,1.78816,,
2019-07-16 10:30,2,83.7,28.7,82.5,28.1,70.2,80.2,26.8,0,0,184,7,3.12928,3,1.34112,,
2019-07-16 10:45,2.25,84.2,29.0,82.7,28.2,70.5,80.3,26.8,0,0,272,7,3.12928,3,1.34112,,
2019-07-16 11:00,2.5,84,28.9,82.8,28.2,70.2,80.5,26.9,0,0,217,7,3.12928,3,1.34112,,
2019-07-16 11:15,2.75,85.4,29.7,83.9,28.8,69.1,81.4,27.4,0,0,214,8,3.57632,3,1.34112,,
2019-07-16 11:30,3,87,30.6,84.8,29.3,68.1,82,27.8,0,0,127,6,2.68224,2,0.89408,,
2019-07-16 11:45,3.25,86.9,30.5,84.1,29.0,68.7,81.1,27.3,0,0,69,5,2.2352,2,0.89408,,
2019-07-16 12:00,3.5,85.6,29.8,85.0,29.4,66.7,82.8,28.2,0,0,207,7,3.12928,2,0.89408,,
2019-07-16 12:15,3.75,87,30.6,85.5,29.7,66.2,83,28.3,0,0,152,7,3.12928,2,0.89408,,
2019-07-16 12:30,4,90.3,32.4,87.5,30.8,64.3,84.3,29.1,0,0,160,8,3.57632,2,0.89408,,
2019-07-16 12:45,4.25,89.1,31.7,87.2,30.7,63.9,84.4,29.1,0,0,100,6,2.68224,2,0.89408,,
2019-07-16 13:00,4.5,88.6,31.4,87.8,31.0,62.1,85.4,29.7,0,0,107,5,2.2352,1,0.44704,,
2019-07-16 13:15,4.75,91,32.8,89.5,31.9,59.5,86.7,30.4,0,0,45,5,2.2352,1,0.44704,,
2019-07-16 13:30,5,88.2,31.2,88.0,31.1,58,85.9,29.9,0,0,70,5,2.2352,0,0.1,,
2019-07-16 13:45,5.25,87.8,31.0,88.1,31.2,57.9,86.2,30.1,0,0,115,6,2.68224,1,0.44704,,
2019-07-16 14:00,5.5,91,32.8,90.0,32.2,55.3,87.5,30.8,0,0,120,6,2.68224,1,0.44704,,
2019-07-16 14:15,5.75,92.4,33.6,91.8,33.2,53.3,89.3,31.8,0,0,84,5,2.2352,0,0.1,,
2019-07-16 14:30,6,90.8,32.7,88.8,31.6,57.3,85.9,29.9,0,0,153,2,0.89408,0,0.1,,
2019-07-16 14:45,6.25,91.4,33.0,90.4,32.4,56.6,87.8,31.0,0,0,278,1,0.44704,0,0.1,,
2019-07-16 15:00,6.5,90.7,32.6,88.8,31.6,58.6,86,30.0,0,0,251,3,1.34112,0,0.1,,
2019-07-16 15:15,6.75,86.3,30.2,87.2,30.7,59.7,85.6,29.8,0,0,67,2,0.89408,0,0.1,,
2019-07-16 15:30,7,89.2,31.8,89.0,31.7,57.6,86.8,30.4,0,0,170,3,1.34112,0,0.1,,
2019-07-16 15:45,7.25,88.5,31.4,87.7,31.0,58.8,85.4,29.7,0,0,319,3,1.34112,0,0.1,,
2019-07-16 16:00,7.5,88,31.1,87.4,30.8,59.1,85.2,29.6,0,0,317,2,0.89408,0,0.1,,
2019-07-16 16:15,7.75,86.3,30.2,86.9,30.5,60.5,85.1,29.5,0,0,272,3,1.34112,0,0.1,,
2019-07-16 16:30,8,91.2,32.9,90.1,32.3,57.4,87.5,30.8,0,0,279,3,1.34112,0,0.1,,
2019-07-16 16:45,8.25,93.1,33.9,91.4,33.0,56.5,88.5,31.4,0,0,62,6,2.68224,2,0.89408,,
2019-07-16 17:00,8.5,93.2,34.0,91.2,32.9,56.2,88.2,31.2,0,0,148,5,2.2352,1,0.44704,,
2019-07-16 17:15,8.75,91.9,33.3,91.3,32.9,56.3,88.8,31.6,0,0,194,5,2.2352,1,0.44704,,
2019-07-16 17:30,9,91.6,33.1,90.8,32.7,57.2,88.3,31.3,0,0,179,3,1.34112,1,0.44704,,
