audps,AUDPS,dic,enl,gly,0-24 soil temp,0-24 15 cm air temp,0-24 rel hum,0-24 avg 1 m air temp,0-24max 1 m air temp,0-24min 1 m air temp,0-24total rainfall,0-24 avg wind speed,24-48 soil temp,24-48 15 cm air temp,24-48 rel hum,24-48 avg 1 m air temp,24-48 max 1 m air temp,24-48 min 1 m air temp,24-48 total rainfall,24-48 avg wind speed,herb,Trial,run,app
0,0.01,yes,no,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Xtendimax,SB25a,1,early
4,2.25,yes,no,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Xtendimax,SB25a,1,early
2,0.25,yes,no,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Status,SB25a,1,early
0,0.01,yes,no,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Status,SB25a,1,early
4,2.25,no,yes,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Enlist,SB25a,1,early
0,0.01,no,yes,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Enlist,SB25a,1,early
5,3.25,yes,no,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Xtendimax,SB25a,1,early
4,2.25,yes,no,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Status,SB25a,1,early
8,6.25,no,yes,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Enlist,SB25a,1,early
0,0.01,no,yes,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Enlist,SB25a,1,early
19,17.25,yes,no,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Xtendimax,SB25a,1,early
3,1.25,yes,no,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Status,SB25a,1,early
0,0.01,no,yes,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Enlist,SB25a,1,early
7,5.25,no,yes,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Enlist,SB25a,1,early
9,7.25,yes,no,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Status,SB25a,1,early
30,28.25,yes,no,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Xtendimax,SB25a,1,early
4,2.25,yes,no,no,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Xtendimax,SB25a,1,early
6,4.25,yes,no,yes,19.6,19.1,59.5,17.4,23.4,11.7,0,1.6,23.7,22.3,64.2,20.4,24.7,16.4,0,2.8,Status,SB25a,1,early
16,14.25,yes,no,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Xtendimax,SB25b,2,early
18,16.25,yes,no,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Xtendimax,SB25b,2,early
0,0.01,yes,no,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Status,SB25b,2,early
4,2.25,yes,no,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Status,SB25b,2,early
0,0.01,no,yes,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Enlist,SB25b,2,early
3,1.25,no,yes,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Enlist,SB25b,2,early
3,1.25,yes,no,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Status,SB25b,2,early
