des,study,TRT,trt,conc,dic,grass,dra,gr15,run,rep,ph,chph,perch
4X Xtendimax,1,1,1,4x,DGA+VG,none,none,none,1,1,5.69,-1.766670,0.236924
4X Xtendimax,1,1,1,4x,DGA+VG,none,none,none,1,2,5.67,-1.786670,0.239607
4X Xtendimax,1,1,1,4x,DGA+VG,none,none,none,1,3,5.67,-1.786670,0.239607
4X Xtendimax,1,1,1,4x,DGA+VG,none,none,none,2,1,5.69,-1.766670,0.236924
4X Xtendimax,1,1,1,4x,DGA+VG,none,none,none,2,2,5.7,-1.756670,0.235583
4X Xtendimax,1,1,1,4x,DGA+VG,none,none,none,2,3,5.69,-1.766670,0.236924
1X Xtendimax,1,1,2,1x,DGA+VG,none,none,none,1,1,6.43,-1.026670,0.137684
1X Xtendimax,1,1,2,1x,DGA+VG,none,none,none,1,2,6.45,-1.006670,0.135002
1X Xtendimax,1,1,2,1x,DGA+VG,none,none,none,1,3,6.45,-1.006670,0.135002
1X Xtendimax,1,1,2,1x,DGA+VG,none,none,none,2,1,6.45,-1.006670,0.135002
1X Xtendimax,1,1,2,1x,DGA+VG,none,none,none,2,2,6.46,-0.996670,0.133661
1X Xtendimax,1,1,2,1x,DGA+VG,none,none,none,2,3,6.46,-0.996670,0.133661
4X Xtendimax + Durango DMA,1,2,3,4x,DGA+VG,DMA,none,none,1,1,5.05,-2.406670,0.322754
4X Xtendimax + Durango DMA,1,2,3,4x,DGA+VG,DMA,none,none,1,2,5.05,-2.406670,0.322754
4X Xtendimax + Durango DMA,1,2,3,4x,DGA+VG,DMA,none,none,1,3,5.05,-2.406670,0.322754
4X Xtendimax + Durango DMA,1,2,3,4x,DGA+VG,DMA,none,none,2,1,5.09,-2.366670,0.317389
4X Xtendimax + Durango DMA,1,2,3,4x,DGA+VG,DMA,none,none,2,2,5.09,-2.366670,0.317389
4X Xtendimax + Durango DMA,1,2,3,4x,DGA+VG,DMA,none,none,2,3,5.09,-2.366670,0.317389
1X Xtendimax + Durango DMA,1,2,4,1x,DGA+VG,DMA,none,none,1,1,5.15,-2.306670,0.309343
1X Xtendimax + Durango DMA,1,2,4,1x,DGA+VG,DMA,none,none,1,2,5.26,-2.196670,0.294591
1X Xtendimax + Durango DMA,1,2,4,1x,DGA+VG,DMA,none,none,1,3,5.17,-2.286670,0.306661
1X Xtendimax + Durango DMA,1,2,4,1x,DGA+VG,DMA,none,none,2,1,5.18,-2.276670,0.305320
1X Xtendimax + Durango DMA,1,2,4,1x,DGA+VG,DMA,none,none,2,2,5.18,-2.276670,0.305320
1X Xtendimax + Durango DMA,1,2,4,1x,DGA+VG,DMA,none,none,2,3,5.19,-2.266670,0.303979
4X Xtendimax + Roundup Powermax,1,3,5,4x,DGA+VG,GLY-K,none,none,1,1,5.08,-2.376670,0.318730
4X Xtendimax + Roundup Powermax,1,3,5,4x,DGA+VG,GLY-K,none,none,1,2,5.08,-2.376670,0.318730
4X Xtendimax + Roundup Powermax,1,3,5,4x,DGA+VG,GLY-K,none,none,1,3,5.08,-2.376670,0.318730
4X Xtendimax + Roundup Powermax,1,3,5,4x,DGA+VG,GLY-K,none,none,2,1,5.16,-2.296670,0.308002
4X Xtendimax + Roundup Powermax,1,3,5,4x,DGA+VG,GLY-K,none,none,2,2,5.15,-2.306670,0.309343
4X Xtendimax + Roundup Powermax,1,3,5,4x,DGA+VG,GLY-K,none,none,2,3,5.15,-2.306670,0.309343
1X Xtendimax + Roundup Powermax,1,3,6,1x,DGA+VG,GLY-K,none,none,1,1,5.15,-2.306670,0.309343
1X Xtendimax + Roundup Powermax,1,3,6,1x,DGA+VG,GLY-K,none,none,1,2,5.13,-2.326670,0.312025
1X Xtendimax + Roundup Powermax,1,3,6,1x,DGA+VG,GLY-K,none,none,1,3,5.14,-2.316670,0.310684
1X Xtendimax + Roundup Powermax,1,3,6,1x,DGA+VG,GLY-K,none,none,2,1,5.19,-2.266670,0.303979
1X Xtendimax + Roundup Powermax,1,3,6,1x,DGA+VG,GLY-K,none,none,2,2,5.19,-2.266670,0.303979
1X Xtendimax + Roundup Powermax,1,3,6,1x,DGA+VG,GLY-K,none,none,2,3,5.19,-2.266670,0.303979
4X Select Max + Xtendimax,1,4,7,4x,DGA+VG,DIM,none,none,1,1,5.68,-1.776670,0.238266
4X Select Max + Xtendimax,1,4,7,4x,DGA+VG,DIM,none,none,1,2,5.68,-1.776670,0.238266
4X Select Max + Xtendimax,1,4,7,4x,DGA+VG,DIM,none,none,1,3,5.58,-1.876670,0.251676
4X Select Max + Xtendimax,1,4,7,4x,DGA+VG,DIM,none,none,2,1,5.64,-1.816670,0.243630
4X Select Max + Xtendimax,1,4,7,4x,DGA+VG,DIM,none,none,2,2,5.64,-1.816670,0.243630
4X Select Max + Xtendimax,1,4,7,4x,DGA+VG,DIM,none,none,2,3,5.64,-1.816670,0.243630
1X Select Max + Xtendimax,1,4,8,1x,DGA+VG,DIM,none,none,1,1,6.41,-1.046670,0.140367
1X Select Max + Xtendimax,1,4,8,1x,DGA+VG,DIM,none,none,1,2,6.41,-1.046670,0.140367
1X Select Max + Xtendimax,1,4,8,1x,DGA+VG,DIM,none,none,1,3,6.41,-1.046670,0.140367
1X Select Max + Xtendimax,1,4,8,1x,DGA+VG,DIM,none,none,2,1,6.44,-1.016670,0.136343
1X Select Max + Xtendimax,1,4,8,1x,DGA+VG,DIM,none,none,2,2,6.43,-1.026670,0.137684
1X Select Max + Xtendimax,1,4,8,1x,DGA+VG,DIM,none,none,2,3,6.42,-1.036670,0.139026
4X Engenia,1,5,9,4x,BAPMA,none,none,none,1,1,6.55,-0.906670,0.121591
4X Engenia,1,5,9,4x,BAPMA,none,none,none,1,2,6.54,-0.916670,0.122933
4X Engenia,1,5,9,4x,BAPMA,none,none,none,1,3,6.52,-0.936670,0.125615
4X Engenia,1,5,9,4x,BAPMA,none,none,none,2,1,6.66,-0.796670,0.106840
4X Engenia,1,5,9,4x,BAPMA,none,none,none,2,2,6.63,-0.826670,0.110863
4X Engenia,1,5,9,4x,BAPMA,none,none,none,2,3,6.62,-0.836670,0.112204
1X Engenia,1,5,10,1x,BAPMA,none,none,none,1,1,6.65,-0.806670,0.108181
1X Engenia,1,5,10,1x,BAPMA,none,none,none,1,2,6.65,-0.806670,0.108181
1X Engenia,1,5,10,1x,BAPMA,none,none,none,1,3,6.65,-0.806670,0.108181
1X Engenia,1,5,10,1x,BAPMA,none,none,none,2,1,6.72,-0.736670,0.098793
1X Engenia,1,5,10,1x,BAPMA,none,none,none,2,2,6.72,-0.736670,0.098793
1X Engenia,1,5,10,1x,BAPMA,none,none,none,2,3,6.71,-0.746670,0.100134
4X Engenia + Durango DMA,1,6,11,4x,BAPMA,DMA,none,none,1,1,4.73,-2.726670,0.365668
4X Engenia + Durango DMA,1,6,11,4x,BAPMA,DMA,none,none,1,2,4.72,-2.736670,0.367009
4X Engenia + Durango DMA,1,6,11,4x,BAPMA,DMA,none,none,1,3,4.72,-2.736670,0.367009
4X Engenia + Durango DMA,1,6,11,4x,BAPMA,DMA,none,none,2,1,4.81,-2.646670,0.354940
4X Engenia + Durango DMA,1,6,11,4x,BAPMA,DMA,none,none,2,2,4.81,-2.646670,0.354940
4X Engenia + Durango DMA,1,6,11,4x,BAPMA,DMA,none,none,2,3,4.8,-2.656670,0.356281
1X Engenia + Durango DMA,1,6,12,1x,BAPMA,DMA,none,none,1,1,5.14,-2.316670,0.310684
1X Engenia + Durango DMA,1,6,12,1x,BAPMA,DMA,none,none,1,2,5.14,-2.316670,0.310684
1X Engenia + Durango DMA,1,6,12,1x,BAPMA,DMA,none,none,1,3,5.14,-2.316670,0.310684
1X Engenia + Durango DMA,1,6,12,1x,BAPMA,DMA,none,none,2,1,5.04,-2.416670,0.324095
1X Engenia + Durango DMA,1,6,12,1x,BAPMA,DMA,none,none,2,2,5.04,-2.416670,0.324095
1X Engenia + Durango DMA,1,6,12,1x,BAPMA,DMA,none,none,2,3,5.05,-2.406670,0.322754
4X Engenia + Roundup Powermax,1,7,13,4x,BAPMA,GLY-K,none,none,1,1,4.71,-2.746670,0.368350
4X Engenia + Roundup Powermax,1,7,13,4x,BAPMA,GLY-K,none,none,1,2,4.7,-2.756670,0.369692
4X Engenia + Roundup Powermax,1,7,13,4x,BAPMA,GLY-K,none,none,1,3,4.7,-2.756670,0.369692
4X Engenia + Roundup Powermax,1,7,13,4x,BAPMA,GLY-K,none,none,2,1,4.78,-2.676670,0.358963
4X Engenia + Roundup Powermax,1,7,13,4x,BAPMA,GLY-K,none,none,2,2,4.77,-2.686670,0.360304
4X Engenia + Roundup Powermax,1,7,13,4x,BAPMA,GLY-K,none,none,2,3,4.76,-2.696670,0.361645
1X Engenia + Roundup Powermax,1,7,14,1x,BAPMA,GLY-K,none,none,1,1,4.92,-2.536670,0.340188
1X Engenia + Roundup Powermax,1,7,14,1x,BAPMA,GLY-K,none,none,1,2,4.95,-2.506670,0.336165
1X Engenia + Roundup Powermax,1,7,14,1x,BAPMA,GLY-K,none,none,1,3,4.93,-2.526670,0.338847
1X Engenia + Roundup Powermax,1,7,14,1x,BAPMA,GLY-K,none,none,2,1,4.98,-2.476670,0.332141
