des,study,TRT,trt,conc,gly,extra,run,rep,ph,chph,perch
4X Xtendimax + Intact,2,1,1,4x,none,none,1,1,5.49,-2.208333,0.287
4X Xtendimax + Intact,2,1,1,4x,none,none,1,2,5.48,-2.218333,0.288
4X Xtendimax + Intact,2,1,1,4x,none,none,1,3,5.48,-2.218333,0.288
4X Xtendimax + Intact,2,1,1,4x,none,none,2,1,5.47,-2.228333,0.289
4X Xtendimax + Intact,2,1,1,4x,none,none,2,2,5.47,-2.228333,0.289
4X Xtendimax + Intact,2,1,1,4x,none,none,2,3,5.46,-2.238333,0.291
1X Xtendimax + Intact,2,1,2,1x,none,none,1,1,6.16,-1.538333,0.200
1X Xtendimax + Intact,2,1,2,1x,none,none,1,2,6.17,-1.528333,0.199
1X Xtendimax + Intact,2,1,2,1x,none,none,1,3,6.18,-1.518333,0.197
1X Xtendimax + Intact,2,1,2,1x,none,none,2,1,6.17,-1.528333,0.199
1X Xtendimax + Intact,2,1,2,1x,none,none,2,2,6.18,-1.518333,0.197
1X Xtendimax + Intact,2,1,2,1x,none,none,2,3,6.16,-1.538333,0.200
4X Xtendimax + Intact + Roundup Powermax,2,2,3,4x,yes,none,1,1,4.8,-2.898333,0.376
4X Xtendimax + Intact + Roundup Powermax,2,2,3,4x,yes,none,1,2,4.8,-2.898333,0.376
4X Xtendimax + Intact + Roundup Powermax,2,2,3,4x,yes,none,1,3,4.8,-2.898333,0.376
4X Xtendimax + Intact + Roundup Powermax,2,2,3,4x,yes,none,2,1,4.8,-2.898333,0.376
4X Xtendimax + Intact + Roundup Powermax,2,2,3,4x,yes,none,2,2,4.8,-2.898333,0.376
4X Xtendimax + Intact + Roundup Powermax,2,2,3,4x,yes,none,2,3,4.8,-2.898333,0.376
1X Xtendimax + Intact + Roundup Powermax,2,2,4,1x,yes,none,1,1,4.93,-2.768333,0.360
1X Xtendimax + Intact + Roundup Powermax,2,2,4,1x,yes,none,1,2,4.93,-2.768333,0.360
1X Xtendimax + Intact + Roundup Powermax,2,2,4,1x,yes,none,1,3,4.95,-2.748333,0.357
1X Xtendimax + Intact + Roundup Powermax,2,2,4,1x,yes,none,2,1,4.96,-2.738333,0.356
1X Xtendimax + Intact + Roundup Powermax,2,2,4,1x,yes,none,2,2,4.98,-2.718333,0.353
1X Xtendimax + Intact + Roundup Powermax,2,2,4,1x,yes,none,2,3,4.98,-2.718333,0.353
4X Xtendimax + Intact + MON 51817,2,3,5,4x,none,yes,1,1,6.1,-1.598333,0.208
4X Xtendimax + Intact + MON 51817,2,3,5,4x,none,yes,1,2,6.11,-1.588333,0.206
4X Xtendimax + Intact + MON 51817,2,3,5,4x,none,yes,1,3,6.11,-1.588333,0.206
4X Xtendimax + Intact + MON 51817,2,3,5,4x,none,yes,2,1,6.12,-1.578333,0.205
4X Xtendimax + Intact + MON 51817,2,3,5,4x,none,yes,2,2,6.13,-1.568333,0.204
4X Xtendimax + Intact + MON 51817,2,3,5,4x,none,yes,2,3,6.12,-1.578333,0.205
1X Xtendimax + Intact + MON 51817,2,3,6,1x,none,yes,1,1,6.3,-1.398333,0.182
1X Xtendimax + Intact + MON 51817,2,3,6,1x,none,yes,1,2,6.27,-1.428333,0.186
1X Xtendimax + Intact + MON 51817,2,3,6,1x,none,yes,1,3,6.3,-1.398333,0.182
1X Xtendimax + Intact + MON 51817,2,3,6,1x,none,yes,2,1,6.31,-1.388333,0.180
1X Xtendimax + Intact + MON 51817,2,3,6,1x,none,yes,2,2,6.32,-1.378333,0.179
1X Xtendimax + Intact + MON 51817,2,3,6,1x,none,yes,2,3,6.32,-1.378333,0.179
4X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,7,4x,yes,yes,1,1,5.43,-2.268333,0.295
4X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,7,4x,yes,yes,1,2,5.42,-2.278333,0.296
4X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,7,4x,yes,yes,1,3,5.42,-2.278333,0.296
4X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,7,4x,yes,yes,2,1,5.42,-2.278333,0.296
4X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,7,4x,yes,yes,2,2,5.41,-2.288333,0.297
4X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,7,4x,yes,yes,2,3,5.4,-2.298333,0.299
1X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,8,1x,yes,yes,1,1,5.32,-2.378333,0.309
1X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,8,1x,yes,yes,1,2,5.32,-2.378333,0.309
1X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,8,1x,yes,yes,1,3,5.34,-2.358333,0.306
1X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,8,1x,yes,yes,2,1,5.35,-2.348333,0.305
1X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,8,1x,yes,yes,2,2,5.35,-2.348333,0.305
1X Xtendimax + Intact + Roundup Powermax + MON 51817,2,4,8,1x,yes,yes,2,3,5.36,-2.338333,0.304
nontreated,2,,9,none,none,none,1,1,7.74,,
nontreated,2,,9,none,none,none,1,2,7.76,,
nontreated,2,,9,none,none,none,1,3,7.68,,
nontreated,2,,9,none,none,none,2,1,7.68,,
nontreated,2,,9,none,none,none,2,2,7.64,,
nontreated,2,,9,none,none,none,2,3,7.69,,
