des,study,TRT,trt,conc,ams,dic,gly,run,rep,ph,chph,perch
4X Clarity,3,1,1,4x,none,DGA,none,1,1,7.18,-0.273333,0.036672587
4X Clarity,3,1,1,4x,none,DGA,none,1,2,7.19,-0.263333,0.035330905
4X Clarity,3,1,1,4x,none,DGA,none,1,3,7.21,-0.243333,0.032647542
4X Clarity,3,1,1,4x,none,DGA,none,2,1,7.16,-0.293333,0.03935595
4X Clarity,3,1,1,4x,none,DGA,none,2,2,7.16,-0.293333,0.03935595
4X Clarity,3,1,1,4x,none,DGA,none,2,3,7.15,-0.303333,0.040697632
1X Clarity,3,1,2,1x,none,DGA,none,1,1,7.28,-0.173333,0.02325577
1X Clarity,3,1,2,1x,none,DGA,none,1,2,7.29,-0.163333,0.021914089
1X Clarity,3,1,2,1x,none,DGA,none,1,3,7.3,-0.153333,0.020572407
1X Clarity,3,1,2,1x,none,DGA,none,2,1,7.25,-0.203333,0.027280815
1X Clarity,3,1,2,1x,none,DGA,none,2,2,7.24,-0.213333,0.028622497
1X Clarity,3,1,2,1x,none,DGA,none,2,3,7.27,-0.183333,0.024597452
4X Diflexx,3,2,3,4x,none,DGA+CYP,none,1,1,3.2,-4.253333,0.570661877
4X Diflexx,3,2,3,4x,none,DGA+CYP,none,1,2,3.22,-4.233333,0.567978514
4X Diflexx,3,2,3,4x,none,DGA+CYP,none,1,3,3.2,-4.253333,0.570661877
4X Diflexx,3,2,3,4x,none,DGA+CYP,none,2,1,3.24,-4.213333,0.565295151
4X Diflexx,3,2,3,4x,none,DGA+CYP,none,2,2,3.24,-4.213333,0.565295151
4X Diflexx,3,2,3,4x,none,DGA+CYP,none,2,3,3.25,-4.203333,0.563953469
1X Diflexx,3,2,4,1x,none,DGA+CYP,none,1,1,6.18,-1.273333,0.17084075
1X Diflexx,3,2,4,1x,none,DGA+CYP,none,1,2,6.18,-1.273333,0.17084075
1X Diflexx,3,2,4,1x,none,DGA+CYP,none,1,3,6.22,-1.233333,0.165474024
1X Diflexx,3,2,4,1x,none,DGA+CYP,none,2,1,6.28,-1.173333,0.157423934
1X Diflexx,3,2,4,1x,none,DGA+CYP,none,2,2,6.21,-1.243333,0.166815705
1X Diflexx,3,2,4,1x,none,DGA+CYP,none,2,3,6.3,-1.153333,0.15474057
4X Diflexx Duo,3,3,5,4x,none,DGA+TMB,none,1,1,2.99,-4.463333,0.598837191
4X Diflexx Duo,3,3,5,4x,none,DGA+TMB,none,1,2,2.97,-4.483333,0.601520555
4X Diflexx Duo,3,3,5,4x,none,DGA+TMB,none,1,3,2.96,-4.493333,0.602862236
4X Diflexx Duo,3,3,5,4x,none,DGA+TMB,none,2,1,2.92,-4.533333,0.608228963
4X Diflexx Duo,3,3,5,4x,none,DGA+TMB,none,2,2,2.94,-4.513333,0.6055456
4X Diflexx Duo,3,3,5,4x,none,DGA+TMB,none,2,3,2.93,-4.523333,0.606887281
1X Diflexx Duo,3,3,6,1x,none,DGA+TMB,none,1,1,5.44,-2.013333,0.270125191
1X Diflexx Duo,3,3,6,1x,none,DGA+TMB,none,1,2,5.4,-2.053333,0.275491918
1X Diflexx Duo,3,3,6,1x,none,DGA+TMB,none,1,3,5.39,-2.063333,0.276833599
1X Diflexx Duo,3,3,6,1x,none,DGA+TMB,none,2,1,5.34,-2.113333,0.283542007
1X Diflexx Duo,3,3,6,1x,none,DGA+TMB,none,2,2,5.33,-2.123333,0.284883689
1X Diflexx Duo,3,3,6,1x,none,DGA+TMB,none,2,3,5.28,-2.173333,0.291592097
4X Status,3,4,7,4x,none,NA+DIF,none,1,1,7.76,0.306667,0.041144948
4X Status,3,4,7,4x,none,NA+DIF,none,1,2,7.77,0.316667,0.04248663
4X Status,3,4,7,4x,none,NA+DIF,none,1,3,7.84,0.386667,0.051878401
4X Status,3,4,7,4x,none,NA+DIF,none,2,1,7.73,0.276667,0.037119903
4X Status,3,4,7,4x,none,NA+DIF,none,2,2,7.8,0.346667,0.046511675
4X Status,3,4,7,4x,none,NA+DIF,none,2,3,7.87,0.416667,0.055903446
1X Status,3,4,8,1x,none,NA+DIF,none,1,1,7.56,0.106667,0.014311315
1X Status,3,4,8,1x,none,NA+DIF,none,1,2,7.58,0.126667,0.016994679
1X Status,3,4,8,1x,none,NA+DIF,none,1,3,7.67,0.216667,0.029069813
1X Status,3,4,8,1x,none,NA+DIF,none,2,1,7.63,0.176667,0.023703087
1X Status,3,4,8,1x,none,NA+DIF,none,2,2,7.63,0.176667,0.023703087
1X Status,3,4,8,1x,none,NA+DIF,none,2,3,7.62,0.166667,0.022361405
4X Clarity + Roundup Powermax,3,5,9,4x,none,DGA,GLY-K,1,1,4.61,-2.843333,0.381484767
4X Clarity + Roundup Powermax,3,5,9,4x,none,DGA,GLY-K,1,2,4.58,-2.873333,0.385509812
4X Clarity + Roundup Powermax,3,5,9,4x,none,DGA,GLY-K,1,3,4.61,-2.843333,0.381484767
4X Clarity + Roundup Powermax,3,5,9,4x,none,DGA,GLY-K,2,1,4.69,-2.763333,0.370751314
4X Clarity + Roundup Powermax,3,5,9,4x,none,DGA,GLY-K,2,2,4.69,-2.763333,0.370751314
4X Clarity + Roundup Powermax,3,5,9,4x,none,DGA,GLY-K,2,3,4.68,-2.773333,0.372092995
1X Clarity + Roundup Powermax,3,5,10,1x,none,DGA,GLY-K,1,1,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax,3,5,10,1x,none,DGA,GLY-K,1,2,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax,3,5,10,1x,none,DGA,GLY-K,1,3,4.89,-2.563333,0.343917681
1X Clarity + Roundup Powermax,3,5,10,1x,none,DGA,GLY-K,2,1,4.99,-2.463333,0.330500865
1X Clarity + Roundup Powermax,3,5,10,1x,none,DGA,GLY-K,2,2,4.95,-2.503333,0.335867591
1X Clarity + Roundup Powermax,3,5,10,1x,none,DGA,GLY-K,2,3,4.99,-2.463333,0.330500865
4X Diflexx + Roundup Powermax,3,6,11,4x,none,DGA+CYP,GLY-K,1,1,4.45,-3.003333,0.402951673
4X Diflexx + Roundup Powermax,3,6,11,4x,none,DGA+CYP,GLY-K,1,2,4.46,-2.993333,0.401609991
4X Diflexx + Roundup Powermax,3,6,11,4x,none,DGA+CYP,GLY-K,1,3,4.46,-2.993333,0.401609991
4X Diflexx + Roundup Powermax,3,6,11,4x,none,DGA+CYP,GLY-K,2,1,4.33,-3.123333,0.419051852
4X Diflexx + Roundup Powermax,3,6,11,4x,none,DGA+CYP,GLY-K,2,2,4.35,-3.103333,0.416368489
1X Diflexx + Roundup Powermax,3,6,12,1x,none,DGA+CYP,GLY-K,1,1,4.78,-2.673333,0.358676179
1X Diflexx + Roundup Powermax,3,6,12,1x,none,DGA+CYP,GLY-K,1,2,4.81,-2.643333,0.354651134
1X Diflexx + Roundup Powermax,3,6,12,1x,none,DGA+CYP,GLY-K,1,3,4.79,-2.663333,0.357334497
1X Diflexx + Roundup Powermax,3,6,12,1x,none,DGA+CYP,GLY-K,2,1,4.69,-2.763333,0.370751314
1X Diflexx + Roundup Powermax,3,6,12,1x,none,DGA+CYP,GLY-K,2,2,4.68,-2.773333,0.372092995
1X Diflexx + Roundup Powermax,3,6,12,1x,none,DGA+CYP,GLY-K,2,3,4.73,-2.723333,0.365384587
4X Diflexx Duo + Roundup Powermax,3,7,13,4x,none,DGA+TMB,GLY-K,1,1,4.18,-3.273333,0.439177077
4X Diflexx Duo + Roundup Powermax,3,7,13,4x,none,DGA+TMB,GLY-K,1,2,4.2,-3.253333,0.436493714
4X Diflexx Duo + Roundup Powermax,3,7,13,4x,none,DGA+TMB,GLY-K,1,3,4.19,-3.263333,0.437835395
4X Diflexx Duo + Roundup Powermax,3,7,13,4x,none,DGA+TMB,GLY-K,2,1,4.19,-3.263333,0.437835395
4X Diflexx Duo + Roundup Powermax,3,7,13,4x,none,DGA+TMB,GLY-K,2,2,4.18,-3.273333,0.439177077
4X Diflexx Duo + Roundup Powermax,3,7,13,4x,none,DGA+TMB,GLY-K,2,3,4.18,-3.273333,0.439177077
1X Diflexx Duo + Roundup Powermax,3,7,14,1x,none,DGA+TMB,GLY-K,1,1,4.48,-2.973333,0.398926628
1X Diflexx Duo + Roundup Powermax,3,7,14,1x,none,DGA+TMB,GLY-K,1,2,4.49,-2.963333,0.397584946
1X Diflexx Duo + Roundup Powermax,3,7,14,1x,none,DGA+TMB,GLY-K,1,3,4.51,-2.943333,0.394901583
1X Diflexx Duo + Roundup Powermax,3,7,14,1x,none,DGA+TMB,GLY-K,2,1,4.53,-2.923333,0.39221822
1X Diflexx Duo + Roundup Powermax,3,7,14,1x,none,DGA+TMB,GLY-K,2,2,4.53,-2.923333,0.39221822
1X Diflexx Duo + Roundup Powermax,3,7,14,1x,none,DGA+TMB,GLY-K,2,3,4.54,-2.913333,0.390876538
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,1,1,4.61,-2.843333,0.381484767
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,1,2,4.62,-2.833333,0.380143085
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,1,3,4.63,-2.823333,0.378801403
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,2,1,4.8,-2.653333,0.355992816
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,2,2,4.81,-2.643333,0.354651134
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,2,3,4.8,-2.653333,0.355992816
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,1,1,4.79,-2.663333,0.357334497
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,1,2,4.84,-2.613333,0.350626089
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,1,3,4.87,-2.583333,0.346601044
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,2,1,4.94,-2.513333,0.337209273
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,2,2,4.96,-2.493333,0.334525909
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,2,3,5.03,-2.423333,0.325134138
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,1,1,4.65,-2.803333,0.37611804
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,1,2,4.66,-2.793333,0.374776358
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,1,3,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,2,1,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,2,2,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,2,3,4.74,-2.713333,0.364042905
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,1,1,4.94,-2.513333,0.337209273
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,1,2,4.92,-2.533333,0.339892636
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,1,3,4.94,-2.513333,0.337209273
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,2,1,5.03,-2.423333,0.325134138
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,2,2,5.03,-2.423333,0.325134138
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,2,3,5.02,-2.433333,0.32647582
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,1,1,4.59,-2.863333,0.38416813
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,1,2,4.58,-2.873333,0.385509812
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,1,3,4.58,-2.873333,0.385509812
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,2,1,4.35,-3.103333,0.416368489
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,2,2,4.4,-3.053333,0.409660081
