des,SA,gly,trt,run,rep,ph
1X Xtendimax,XtendiMax,no glyphosate,6,1,1,6.43
1X Xtendimax,XtendiMax,no glyphosate,6,1,2,6.45
1X Xtendimax,XtendiMax,no glyphosate,6,1,3,6.45
1X Xtendimax,XtendiMax,no glyphosate,6,2,1,6.45
1X Xtendimax,XtendiMax,no glyphosate,6,2,2,6.46
1X Xtendimax,XtendiMax,no glyphosate,6,2,3,6.46
1X Xtendimax + Durango DMA,XtendiMax,Durango DMA,7,1,1,5.15
1X Xtendimax + Durango DMA,XtendiMax,Durango DMA,7,1,2,5.26
1X Xtendimax + Durango DMA,XtendiMax,Durango DMA,7,1,3,5.17
1X Xtendimax + Durango DMA,XtendiMax,Durango DMA,7,2,1,5.18
1X Xtendimax + Durango DMA,XtendiMax,Durango DMA,7,2,2,5.18
1X Xtendimax + Durango DMA,XtendiMax,Durango DMA,7,2,3,5.19
1X Xtendimax + Roundup Powermax,XtendiMax,Roundup PowerMax,8,1,1,5.15
1X Xtendimax + Roundup Powermax,XtendiMax,Roundup PowerMax,8,1,2,5.13
1X Xtendimax + Roundup Powermax,XtendiMax,Roundup PowerMax,8,1,3,5.14
1X Xtendimax + Roundup Powermax,XtendiMax,Roundup PowerMax,8,2,1,5.19
1X Xtendimax + Roundup Powermax,XtendiMax,Roundup PowerMax,8,2,2,5.19
1X Xtendimax + Roundup Powermax,XtendiMax,Roundup PowerMax,8,2,3,5.19
1X Engenia,Engenia,no glyphosate,16,1,1,6.65
1X Engenia,Engenia,no glyphosate,16,1,2,6.65
1X Engenia,Engenia,no glyphosate,16,1,3,6.65
1X Engenia,Engenia,no glyphosate,16,2,1,6.72
1X Engenia,Engenia,no glyphosate,16,2,2,6.72
1X Engenia,Engenia,no glyphosate,16,2,3,6.71
1X Engenia + Durango DMA,Engenia,Durango DMA,17,1,1,5.14
1X Engenia + Durango DMA,Engenia,Durango DMA,17,1,2,5.14
1X Engenia + Durango DMA,Engenia,Durango DMA,17,1,3,5.14
1X Engenia + Durango DMA,Engenia,Durango DMA,17,2,1,5.04
1X Engenia + Durango DMA,Engenia,Durango DMA,17,2,2,5.04
1X Engenia + Durango DMA,Engenia,Durango DMA,17,2,3,5.05
1X Engenia + Roundup Powermax,Engenia,Roundup PowerMax,18,1,1,4.92
1X Engenia + Roundup Powermax,Engenia,Roundup PowerMax,18,1,2,4.95
1X Engenia + Roundup Powermax,Engenia,Roundup PowerMax,18,1,3,4.93
1X Engenia + Roundup Powermax,Engenia,Roundup PowerMax,18,2,1,4.98
1X Engenia + Roundup Powermax,Engenia,Roundup PowerMax,18,2,2,5
1X Engenia + Roundup Powermax,Engenia,Roundup PowerMax,18,2,3,5
1X Status,Status,no glyphosate,7,1,1,7.56
1X Status,Status,no glyphosate,7,1,2,7.58
1X Status,Status,no glyphosate,7,1,3,7.67
1X Status,Status,no glyphosate,7,2,1,7.63
1X Status,Status,no glyphosate,7,2,2,7.63
1X Status,Status,no glyphosate,7,2,3,7.62
1X Status + Durango DMA,Status,Durango DMA,8,1,1,4.93
1X Status + Durango DMA,Status,Durango DMA,8,1,2,4.93
1X Status + Durango DMA,Status,Durango DMA,8,1,3,4.95
1X Status + Durango DMA,Status,Durango DMA,8,2,1,4.99
1X Status + Durango DMA,Status,Durango DMA,8,2,2,5.01
1X Status + Durango DMA,Status,Durango DMA,8,2,3,5.03
1X Status + Roundup Powermax,Status,Roundup PowerMax,9,1,1,4.79
1X Status + Roundup Powermax,Status,Roundup PowerMax,9,1,2,4.84
1X Status + Roundup Powermax,Status,Roundup PowerMax,9,1,3,4.87
1X Status + Roundup Powermax,Status,Roundup PowerMax,9,2,1,4.94
1X Status + Roundup Powermax,Status,Roundup PowerMax,9,2,2,4.96
1X Status + Roundup Powermax,Status,Roundup PowerMax,9,2,3,5.03
1X Clarity,Clarity,no glyphosate,19,1,1,7.28
1X Clarity,Clarity,no glyphosate,19,1,2,7.29
1X Clarity,Clarity,no glyphosate,19,1,3,7.3
1X Clarity,Clarity,no glyphosate,19,2,1,7.25
1X Clarity,Clarity,no glyphosate,19,2,2,7.24
1X Clarity,Clarity,no glyphosate,19,2,3,7.27
1X Clarity + Durango DMA,Clarity,Durango DMA,20,1,1,4.94
1X Clarity + Durango DMA,Clarity,Durango DMA,20,1,2,4.92
1X Clarity + Durango DMA,Clarity,Durango DMA,20,1,3,4.94
1X Clarity + Durango DMA,Clarity,Durango DMA,20,2,1,5.03
1X Clarity + Durango DMA,Clarity,Durango DMA,20,2,2,5.03
1X Clarity + Durango DMA,Clarity,Durango DMA,20,2,3,5.02
1X Clarity + Roundup Powermax,Clarity,Roundup PowerMax,21,1,1,4.88
1X Clarity + Roundup Powermax,Clarity,Roundup PowerMax,21,1,2,4.88
1X Clarity + Roundup Powermax,Clarity,Roundup PowerMax,21,1,3,4.89
1X Clarity + Roundup Powermax,Clarity,Roundup PowerMax,21,2,1,4.99
1X Clarity + Roundup Powermax,Clarity,Roundup PowerMax,21,2,2,4.95
1X Clarity + Roundup Powermax,Clarity,Roundup PowerMax,21,2,3,4.99
1X Diflexx,DiFlexx,no glyphosate,32,1,1,6.18
1X Diflexx,DiFlexx,no glyphosate,32,1,2,6.18
1X Diflexx,DiFlexx,no glyphosate,32,1,3,6.22
1X Diflexx,DiFlexx,no glyphosate,32,2,1,6.28
1X Diflexx,DiFlexx,no glyphosate,32,2,2,6.21
1X Diflexx,DiFlexx,no glyphosate,32,2,3,6.3
1X Diflexx + Durango DMA,DiFlexx,Durango DMA,33,1,1,4.9
1X Diflexx + Durango DMA,DiFlexx,Durango DMA,33,1,2,4.91
1X Diflexx + Durango DMA,DiFlexx,Durango DMA,33,1,3,4.93
1X Diflexx + Durango DMA,DiFlexx,Durango DMA,33,2,1,4.72
1X Diflexx + Durango DMA,DiFlexx,Durango DMA,33,2,2,4.74
1X Diflexx + Durango DMA,DiFlexx,Durango DMA,33,2,3,4.74
1X Diflexx + Roundup Powermax,DiFlexx,Roundup PowerMax,34,1,1,4.78
1X Diflexx + Roundup Powermax,DiFlexx,Roundup PowerMax,34,1,2,4.81
1X Diflexx + Roundup Powermax,DiFlexx,Roundup PowerMax,34,1,3,4.79
1X Diflexx + Roundup Powermax,DiFlexx,Roundup PowerMax,34,2,1,4.69
1X Diflexx + Roundup Powermax,DiFlexx,Roundup PowerMax,34,2,2,4.68
1X Diflexx + Roundup Powermax,DiFlexx,Roundup PowerMax,34,2,3,4.73
1X Diflexx Duo,DiFlexx DUO,no glyphosate,38,1,1,5.44
1X Diflexx Duo,DiFlexx DUO,no glyphosate,38,1,2,5.4
1X Diflexx Duo,DiFlexx DUO,no glyphosate,38,1,3,5.39
1X Diflexx Duo,DiFlexx DUO,no glyphosate,38,2,1,5.34
1X Diflexx Duo,DiFlexx DUO,no glyphosate,38,2,2,5.33
1X Diflexx Duo,DiFlexx DUO,no glyphosate,38,2,3,5.28
1X Diflexx Duo + Durango DMA,DiFlexx DUO,Durango DMA,44,1,1,4.65
1X Diflexx Duo + Durango DMA,DiFlexx DUO,Durango DMA,44,1,2,4.66
1X Diflexx Duo + Durango DMA,DiFlexx DUO,Durango DMA,44,1,3,4.66
1X Diflexx Duo + Durango DMA,DiFlexx DUO,Durango DMA,44,2,1,4.66
1X Diflexx Duo + Durango DMA,DiFlexx DUO,Durango DMA,44,2,2,4.66
1X Diflexx Duo + Durango DMA,DiFlexx DUO,Durango DMA,44,2,3,4.66
1X Diflexx Duo + Roundup Powermax,DiFlexx DUO,Roundup PowerMax,45,1,1,4.48
1X Diflexx Duo + Roundup Powermax,DiFlexx DUO,Roundup PowerMax,45,1,2,4.49
1X Diflexx Duo + Roundup Powermax,DiFlexx DUO,Roundup PowerMax,45,1,3,4.51
1X Diflexx Duo + Roundup Powermax,DiFlexx DUO,Roundup PowerMax,45,2,1,4.53
1X Diflexx Duo + Roundup Powermax,DiFlexx DUO,Roundup PowerMax,45,2,2,4.53
1X Diflexx Duo + Roundup Powermax,DiFlexx DUO,Roundup PowerMax,45,2,3,4.54
1X Enlist One,Enlist One,no glyphosate,11,1,1,6.92
1X Enlist One,Enlist One,no glyphosate,11,1,2,6.91
1X Enlist One,Enlist One,no glyphosate,11,1,3,6.9
1X Enlist One,Enlist One,no glyphosate,11,2,1,6.94
1X Enlist One,Enlist One,no glyphosate,11,2,2,6.96
1X Enlist One,Enlist One,no glyphosate,11,2,3,6.99
1X Enlist One + Durango DMA,Enlist One,Durango DMA,12,1,1,5.01
1X Enlist One + Durango DMA,Enlist One,Durango DMA,12,1,2,5.03
1X Enlist One + Durango DMA,Enlist One,Durango DMA,12,1,3,5.03
1X Enlist One + Durango DMA,Enlist One,Durango DMA,12,2,1,4.98
1X Enlist One + Durango DMA,Enlist One,Durango DMA,12,2,2,5.02
1X Enlist One + Durango DMA,Enlist One,Durango DMA,12,2,3,5.02
1X Enlist One + Roundup Powermax,Enlist One,Roundup PowerMax,13,1,1,5.02
1X Enlist One + Roundup Powermax,Enlist One,Roundup PowerMax,13,1,2,5.02
1X Enlist One + Roundup Powermax,Enlist One,Roundup PowerMax,13,1,3,5.01
1X Enlist One + Roundup Powermax,Enlist One,Roundup PowerMax,13,2,1,4.92
1X Enlist One + Roundup Powermax,Enlist One,Roundup PowerMax,13,2,2,4.92
1X Enlist One + Roundup Powermax,Enlist One,Roundup PowerMax,13,2,3,4.95
1X Enlist Duo,Enlist DUO,Premix,19,1,1,5.83
1X Enlist Duo,Enlist DUO,Premix,19,1,2,5.82
1X Enlist Duo,Enlist DUO,Premix,19,1,3,5.82
1X Enlist Duo,Enlist DUO,Premix,19,2,1,5.82
1X Enlist Duo,Enlist DUO,Premix,19,2,2,5.79
1X Enlist Duo,Enlist DUO,Premix,19,2,3,5.81
