ph,Rate,Dicamba formulation,Glyphosate,DRA,HG15
5.69,4x,DGA+VG,no,no,no
5.67,4x,DGA+VG,no,no,no
5.67,4x,DGA+VG,no,no,no
5.69,4x,DGA+VG,no,no,no
5.7,4x,DGA+VG,no,no,no
5.69,4x,DGA+VG,no,no,no
5.05,4x,DGA+VG,yes,no,no
5.05,4x,DGA+VG,yes,no,no
5.05,4x,DGA+VG,yes,no,no
5.09,4x,DGA+VG,yes,no,no
5.09,4x,DGA+VG,yes,no,no
5.09,4x,DGA+VG,yes,no,no
5.08,4x,DGA+VG,yes,no,no
5.08,4x,DGA+VG,yes,no,no
5.08,4x,DGA+VG,yes,no,no
5.16,4x,DGA+VG,yes,no,no
5.15,4x,DGA+VG,yes,no,no
5.15,4x,DGA+VG,yes,no,no
5.08,4x,DGA+VG,yes,yes,no
5.08,4x,DGA+VG,yes,yes,no
5.08,4x,DGA+VG,yes,yes,no
5.14,4x,DGA+VG,yes,yes,no
5.14,4x,DGA+VG,yes,yes,no
5.12,4x,DGA+VG,yes,yes,no
5.18,4x,DGA+VG,yes,yes,yes
5.15,4x,DGA+VG,yes,yes,yes
5.14,4x,DGA+VG,yes,yes,yes
5.19,4x,DGA+VG,yes,yes,yes
5.18,4x,DGA+VG,yes,yes,yes
5.18,4x,DGA+VG,yes,yes,yes
6.43,1x,DGA+VG,no,no,no
6.45,1x,DGA+VG,no,no,no
6.45,1x,DGA+VG,no,no,no
6.45,1x,DGA+VG,no,no,no
6.46,1x,DGA+VG,no,no,no
6.46,1x,DGA+VG,no,no,no
5.15,1x,DGA+VG,yes,no,no
5.26,1x,DGA+VG,yes,no,no
5.17,1x,DGA+VG,yes,no,no
5.18,1x,DGA+VG,yes,no,no
5.18,1x,DGA+VG,yes,no,no
5.19,1x,DGA+VG,yes,no,no
5.15,1x,DGA+VG,yes,no,no
5.13,1x,DGA+VG,yes,no,no
5.14,1x,DGA+VG,yes,no,no
5.19,1x,DGA+VG,yes,no,no
5.19,1x,DGA+VG,yes,no,no
5.19,1x,DGA+VG,yes,no,no
5.14,1x,DGA+VG,yes,yes,no
5.14,1x,DGA+VG,yes,yes,no
5.15,1x,DGA+VG,yes,yes,no
5.16,1x,DGA+VG,yes,yes,no
5.17,1x,DGA+VG,yes,yes,no
5.18,1x,DGA+VG,yes,yes,no
5.15,1x,DGA+VG,yes,yes,yes
5.16,1x,DGA+VG,yes,yes,yes
5.17,1x,DGA+VG,yes,yes,yes
5.22,1x,DGA+VG,yes,yes,yes
5.23,1x,DGA+VG,yes,yes,yes
5.21,1x,DGA+VG,yes,yes,yes
6.55,4x,BAPMA,no,no,no
6.54,4x,BAPMA,no,no,no
6.52,4x,BAPMA,no,no,no
6.66,4x,BAPMA,no,no,no
6.63,4x,BAPMA,no,no,no
6.62,4x,BAPMA,no,no,no
4.73,4x,BAPMA,yes,no,no
4.72,4x,BAPMA,yes,no,no
4.72,4x,BAPMA,yes,no,no
4.81,4x,BAPMA,yes,no,no
4.81,4x,BAPMA,yes,no,no
4.8,4x,BAPMA,yes,no,no
4.71,4x,BAPMA,yes,no,no
4.7,4x,BAPMA,yes,no,no
4.7,4x,BAPMA,yes,no,no
4.78,4x,BAPMA,yes,no,no
4.77,4x,BAPMA,yes,no,no
4.76,4x,BAPMA,yes,no,no
4.71,4x,BAPMA,yes,yes,no
4.71,4x,BAPMA,yes,yes,no
4.7,4x,BAPMA,yes,yes,no
4.79,4x,BAPMA,yes,yes,no
4.78,4x,BAPMA,yes,yes,no
4.77,4x,BAPMA,yes,yes,no
4.73,4x,BAPMA,yes,yes,yes
4.73,4x,BAPMA,yes,yes,yes
4.72,4x,BAPMA,yes,yes,yes
4.75,4x,BAPMA,yes,yes,yes
4.76,4x,BAPMA,yes,yes,yes
4.76,4x,BAPMA,yes,yes,yes
6.65,1x,BAPMA,no,no,no
6.65,1x,BAPMA,no,no,no
6.65,1x,BAPMA,no,no,no
6.72,1x,BAPMA,no,no,no
6.72,1x,BAPMA,no,no,no
6.71,1x,BAPMA,no,no,no
5.14,1x,BAPMA,yes,no,no
5.14,1x,BAPMA,yes,no,no
5.14,1x,BAPMA,yes,no,no
5.04,1x,BAPMA,yes,no,no
5.04,1x,BAPMA,yes,no,no
5.05,1x,BAPMA,no,no,no
4.92,1x,BAPMA,yes,no,no
4.95,1x,BAPMA,yes,no,no
4.93,1x,BAPMA,yes,no,no
4.98,1x,BAPMA,yes,no,no
5,1x,BAPMA,yes,no,no
5,1x,BAPMA,yes,no,no
4.94,1x,BAPMA,yes,yes,no
4.94,1x,BAPMA,yes,yes,no
4.95,1x,BAPMA,yes,yes,no
4.92,1x,BAPMA,yes,yes,no
4.94,1x,BAPMA,yes,yes,no
4.95,1x,BAPMA,yes,yes,no
4.94,1x,BAPMA,yes,yes,yes
4.94,1x,BAPMA,yes,yes,yes
4.95,1x,BAPMA,yes,yes,yes
4.97,1x,BAPMA,yes,yes,yes
4.98,1x,BAPMA,yes,yes,yes
4.98,1x,BAPMA,no,yes,yes
5.68,4x,DGA+VG,no,no,no
5.68,4x,DGA+VG,no,no,no
5.58,4x,DGA+VG,no,no,no
5.64,4x,DGA+VG,no,no,no
5.64,4x,DGA+VG,no,no,no
5.64,4x,DGA+VG,no,no,no
6.59,4x,BAPMA,no,no,no
6.55,4x,BAPMA,no,no,no
6.6,4x,BAPMA,no,no,no
6.57,4x,BAPMA,no,no,no
6.57,4x,BAPMA,no,no,no
6.57,4x,BAPMA,no,no,no
5.63,4x,DGA+VG,no,yes,no
5.61,4x,DGA+VG,no,yes,no
5.61,4x,DGA+VG,no,yes,no
5.6,4x,DGA+VG,no,yes,no
5.7,4x,DGA+VG,no,yes,no
5.59,4x,DGA+VG,no,yes,no
6.57,4x,BAPMA,no,yes,no
6.55,4x,BAPMA,no,yes,no
6.58,4x,BAPMA,no,yes,no
6.56,4x,BAPMA,no,yes,no
6.57,4x,BAPMA,no,yes,no
6.56,4x,BAPMA,no,yes,no
5.9,4x,DGA+VG,no,yes,yes
5.88,4x,DGA+VG,no,yes,yes
5.9,4x,DGA+VG,no,yes,yes
5.9,4x,DGA+VG,no,yes,yes
5.9,4x,DGA+VG,no,yes,yes
5.9,4x,DGA+VG,no,yes,yes
