ph,perch,conc,dic form,gly,dra,gr15,dim,no grass control,conc: 4x,conc: 1x,dic: BAPMA,dic: DGA+VG,gly: DMA,gly: GLY-K
5.69,0.236924,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.67,0.239607,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.67,0.239607,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.69,0.236924,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.7,0.235583,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.69,0.236924,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.05,0.322754,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.05,0.322754,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.05,0.322754,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.09,0.317389,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.09,0.317389,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.09,0.317389,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.08,0.318730,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.16,0.308002,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.15,0.309343,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.15,0.309343,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.14,0.310684,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.14,0.310684,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.12,0.313366,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.18,0.305320,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.15,0.309343,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.14,0.310684,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.19,0.303979,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.18,0.305320,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.18,0.305320,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
6.43,0.137684,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.45,0.135002,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.45,0.135002,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.45,0.135002,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.46,0.133661,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.46,0.133661,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
5.15,0.309343,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.26,0.294591,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.17,0.306661,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.18,0.305320,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.18,0.305320,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.19,0.303979,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.15,0.309343,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,no,yes
