ph,perch,conc,gly,ph mod,conc:4x,conc:1x
5.49,0.287,4x,no,no,yes,no
5.48,0.288,4x,no,no,yes,no
5.48,0.288,4x,no,no,yes,no
5.47,0.289,4x,no,no,yes,no
5.47,0.289,4x,no,no,yes,no
5.46,0.291,4x,no,no,yes,no
4.8,0.376,4x,yes,no,yes,no
4.8,0.376,4x,yes,no,yes,no
4.8,0.376,4x,yes,no,yes,no
4.8,0.376,4x,yes,no,yes,no
4.8,0.376,4x,yes,no,yes,no
4.8,0.376,4x,yes,no,yes,no
6.1,0.208,4x,no,yes,yes,no
6.11,0.206,4x,no,yes,yes,no
6.11,0.206,4x,no,yes,yes,no
6.12,0.205,4x,no,yes,yes,no
6.13,0.204,4x,no,yes,yes,no
6.12,0.205,4x,no,yes,yes,no
5.43,0.295,4x,yes,yes,yes,no
5.42,0.296,4x,yes,yes,yes,no
5.42,0.296,4x,yes,yes,yes,no
5.42,0.296,4x,yes,yes,yes,no
5.41,0.297,4x,yes,yes,yes,no
5.4,0.299,4x,yes,yes,yes,no
6.16,0.200,1x,no,no,no,yes
6.17,0.199,1x,no,no,no,yes
6.18,0.197,1x,no,no,no,yes
6.17,0.199,1x,no,no,no,yes
6.18,0.197,1x,no,no,no,yes
6.16,0.200,1x,no,no,no,yes
4.93,0.360,1x,yes,no,no,yes
4.93,0.360,1x,yes,no,no,yes
4.95,0.357,1x,yes,no,no,yes
4.96,0.356,1x,yes,no,no,yes
4.98,0.353,1x,yes,no,no,yes
4.98,0.353,1x,yes,no,no,yes
6.3,0.182,1x,no,yes,no,yes
6.27,0.186,1x,no,yes,no,yes
6.3,0.182,1x,no,yes,no,yes
6.31,0.180,1x,no,yes,no,yes
6.32,0.179,1x,no,yes,no,yes
6.32,0.179,1x,no,yes,no,yes
5.32,0.309,1x,yes,yes,no,yes
5.32,0.309,1x,yes,yes,no,yes
5.34,0.306,1x,yes,yes,no,yes
5.35,0.305,1x,yes,yes,no,yes
5.35,0.305,1x,yes,yes,no,yes
5.36,0.304,1x,yes,yes,no,yes
