ph,Rate,AMS,Dicamba formulation,Glyphosate
7.76,4x,no,NA+DIF,no
7.77,4x,no,NA+DIF,no
7.84,4x,no,NA+DIF,no
7.73,4x,no,NA+DIF,no
7.8,4x,no,NA+DIF,no
7.87,4x,no,NA+DIF,no
4.76,4x,no,NA+DIF,yes
4.75,4x,no,NA+DIF,yes
4.76,4x,no,NA+DIF,yes
4.85,4x,no,NA+DIF,yes
4.84,4x,no,NA+DIF,yes
4.85,4x,no,NA+DIF,yes
4.61,4x,no,NA+DIF,yes
4.62,4x,no,NA+DIF,yes
4.63,4x,no,NA+DIF,yes
4.8,4x,no,NA+DIF,yes
4.81,4x,no,NA+DIF,yes
4.8,4x,no,NA+DIF,yes
7.37,4x,yes,NA+DIF,no
7.36,4x,yes,NA+DIF,no
7.4,4x,yes,NA+DIF,no
7.25,4x,yes,NA+DIF,no
7.29,4x,yes,NA+DIF,no
7.28,4x,yes,NA+DIF,no
4.74,4x,yes,NA+DIF,yes
4.74,4x,yes,NA+DIF,yes
4.73,4x,yes,NA+DIF,yes
4.84,4x,yes,NA+DIF,yes
4.83,4x,yes,NA+DIF,yes
4.82,4x,yes,NA+DIF,yes
4.48,4x,yes,NA+DIF,yes
4.5,4x,yes,NA+DIF,yes
4.52,4x,yes,NA+DIF,yes
4.7,4x,yes,NA+DIF,yes
4.7,4x,yes,NA+DIF,yes
4.7,4x,yes,NA+DIF,yes
7.56,1x,no,NA+DIF,no
7.58,1x,no,NA+DIF,no
7.67,1x,no,NA+DIF,no
7.63,1x,no,NA+DIF,no
7.63,1x,no,NA+DIF,no
7.62,1x,no,NA+DIF,no
4.93,1x,no,NA+DIF,yes
4.93,1x,no,NA+DIF,yes
4.95,1x,no,NA+DIF,yes
4.99,1x,no,NA+DIF,yes
5.01,1x,no,NA+DIF,yes
5.03,1x,no,NA+DIF,yes
4.79,1x,no,NA+DIF,yes
4.84,1x,no,NA+DIF,yes
4.87,1x,no,NA+DIF,yes
4.94,1x,no,NA+DIF,yes
4.96,1x,no,NA+DIF,yes
5.03,1x,no,NA+DIF,yes
7.45,1x,yes,NA+DIF,no
7.45,1x,yes,NA+DIF,no
7.45,1x,yes,NA+DIF,no
7.33,1x,yes,NA+DIF,no
7.34,1x,yes,NA+DIF,no
7.38,1x,yes,NA+DIF,no
4.95,1x,yes,NA+DIF,yes
4.95,1x,yes,NA+DIF,yes
4.96,1x,yes,NA+DIF,yes
5.09,1x,yes,NA+DIF,yes
5.07,1x,yes,NA+DIF,yes
4.99,1x,yes,NA+DIF,yes
4.78,1x,yes,NA+DIF,yes
4.79,1x,yes,NA+DIF,yes
4.79,1x,yes,NA+DIF,yes
4.98,1x,yes,NA+DIF,yes
4.99,1x,yes,NA+DIF,yes
4.99,1x,yes,NA+DIF,yes
7.18,4x,no,DGA,no
7.19,4x,no,DGA,no
7.21,4x,no,DGA,no
7.16,4x,no,DGA,no
7.16,4x,no,DGA,no
7.15,4x,no,DGA,no
4.65,4x,no,DGA,yes
4.66,4x,no,DGA,yes
4.67,4x,no,DGA,yes
4.76,4x,no,DGA,yes
4.76,4x,no,DGA,yes
4.74,4x,no,DGA,yes
4.61,4x,no,DGA,yes
4.58,4x,no,DGA,yes
4.61,4x,no,DGA,yes
4.69,4x,no,DGA,yes
4.69,4x,no,DGA,yes
4.68,4x,no,DGA,yes
7.19,4x,yes,DGA,no
7.2,4x,yes,DGA,no
7.15,4x,yes,DGA,no
7.16,4x,yes,DGA,no
7.15,4x,yes,DGA,no
7.14,4x,yes,DGA,no
4.67,4x,yes,DGA,yes
4.67,4x,yes,DGA,yes
4.67,4x,yes,DGA,yes
4.75,4x,yes,DGA,yes
4.74,4x,yes,DGA,yes
4.74,4x,yes,DGA,yes
4.59,4x,yes,DGA,yes
4.54,4x,yes,DGA,yes
4.58,4x,yes,DGA,yes
4.66,4x,yes,DGA,yes
4.65,4x,yes,DGA,yes
4.64,4x,yes,DGA,yes
7.28,1x,no,DGA,no
7.29,1x,no,DGA,no
7.3,1x,no,DGA,no
7.25,1x,no,DGA,no
7.24,1x,no,DGA,no
7.27,1x,no,DGA,no
4.94,1x,no,DGA,yes
4.92,1x,no,DGA,yes
4.94,1x,no,DGA,yes
5.03,1x,no,DGA,yes
5.03,1x,no,DGA,yes
5.02,1x,no,DGA,yes
4.88,1x,no,DGA,yes
4.88,1x,no,DGA,yes
4.89,1x,no,DGA,yes
4.99,1x,no,DGA,yes
4.95,1x,no,DGA,yes
4.99,1x,no,DGA,yes
7.25,1x,yes,DGA,no
7.27,1x,yes,DGA,no
7.28,1x,yes,DGA,no
7.2,1x,yes,DGA,no
7.22,1x,yes,DGA,no
7.23,1x,yes,DGA,no
4.92,1x,yes,DGA,yes
4.93,1x,yes,DGA,yes
4.92,1x,yes,DGA,yes
5.01,1x,yes,DGA,yes
4.99,1x,yes,DGA,yes
4.99,1x,yes,DGA,yes
4.88,1x,yes,DGA,yes
4.88,1x,yes,DGA,yes
4.9,1x,yes,DGA,yes
4.92,1x,yes,DGA,yes
4.91,1x,yes,DGA,yes
4.93,1x,yes,DGA,yes
3.2,4x,no,DGA+CYP,no
3.22,4x,no,DGA+CYP,no
3.2,4x,no,DGA+CYP,no
3.24,4x,no,DGA+CYP,no
3.24,4x,no,DGA+CYP,no
3.25,4x,no,DGA+CYP,no
4.59,4x,no,DGA+CYP,yes
4.58,4x,no,DGA+CYP,yes
4.58,4x,no,DGA+CYP,yes
4.35,4x,no,DGA+CYP,yes
4.4,4x,no,DGA+CYP,yes
4.4,4x,no,DGA+CYP,yes
4.45,4x,no,DGA+CYP,yes
4.46,4x,no,DGA+CYP,yes
4.46,4x,no,DGA+CYP,yes
4.33,4x,no,DGA+CYP,yes
4.35,4x,no,DGA+CYP,yes
3.73,4x,yes,DGA+CYP,no
3.71,4x,yes,DGA+CYP,no
3.71,4x,yes,DGA+CYP,no
3.5,4x,yes,DGA+CYP,no
3.52,4x,yes,DGA+CYP,no
3.53,4x,yes,DGA+CYP,no
4.59,4x,yes,DGA+CYP,yes
4.59,4x,yes,DGA+CYP,yes
4.57,4x,yes,DGA+CYP,yes
4.46,4x,yes,DGA+CYP,yes
4.46,4x,yes,DGA+CYP,yes
4.43,4x,yes,DGA+CYP,yes
4.42,4x,yes,DGA+CYP,yes
4.42,4x,yes,DGA+CYP,yes
4.35,4x,yes,DGA+CYP,yes
4.34,4x,yes,DGA+CYP,yes
2.99,4x,no,DGA+TMB,no
2.97,4x,no,DGA+TMB,no
2.96,4x,no,DGA+TMB,no
2.92,4x,no,DGA+TMB,no
2.94,4x,no,DGA+TMB,no
2.93,4x,no,DGA+TMB,no
6.18,1x,no,DGA+CYP,no
6.18,1x,no,DGA+CYP,no
6.22,1x,no,DGA+CYP,no
6.28,1x,no,DGA+CYP,no
6.21,1x,no,DGA+CYP,no
6.3,1x,no,DGA+CYP,no
4.9,1x,no,DGA+CYP,yes
4.91,1x,no,DGA+CYP,yes
4.93,1x,no,DGA+CYP,yes
4.72,1x,no,DGA+CYP,yes
4.74,1x,no,DGA+CYP,yes
4.74,1x,no,DGA+CYP,yes
4.78,1x,no,DGA+CYP,yes
4.81,1x,no,DGA+CYP,yes
4.79,1x,no,DGA+CYP,yes
4.69,1x,no,DGA+CYP,yes
4.68,1x,no,DGA+CYP,yes
4.73,1x,no,DGA+CYP,yes
6.34,1x,yes,DGA+CYP,no
6.34,1x,yes,DGA+CYP,no
6.32,1x,yes,DGA+CYP,no
6.31,1x,yes,DGA+CYP,no
6.3,1x,yes,DGA+CYP,no
6.31,1x,yes,DGA+CYP,no
4.87,1x,yes,DGA+CYP,yes
4.89,1x,yes,DGA+CYP,yes
4.87,1x,yes,DGA+CYP,yes
4.75,1x,yes,DGA+CYP,yes
4.77,1x,yes,DGA+CYP,yes
4.75,1x,yes,DGA+CYP,yes
4.72,1x,yes,DGA+CYP,yes
4.73,1x,yes,DGA+CYP,yes
4.76,1x,yes,DGA+CYP,yes
4.68,1x,yes,DGA+CYP,yes
4.7,1x,yes,DGA+CYP,yes
4.68,1x,yes,DGA+CYP,yes
5.44,1x,no,DGA+TMB,no
5.4,1x,no,DGA+TMB,no
5.39,1x,no,DGA+TMB,no
5.34,1x,no,DGA+TMB,no
5.33,1x,no,DGA+TMB,no
5.28,1x,no,DGA+TMB,no
4.34,4x,no,DGA+TMB,yes
4.33,4x,no,DGA+TMB,yes
4.43,4x,no,DGA+TMB,yes
4.33,4x,no,DGA+TMB,yes
4.34,4x,no,DGA+TMB,yes
4.34,4x,no,DGA+TMB,yes
4.18,4x,no,DGA+TMB,yes
4.2,4x,no,DGA+TMB,yes
4.19,4x,no,DGA+TMB,yes
4.19,4x,no,DGA+TMB,yes
4.18,4x,no,DGA+TMB,yes
4.18,4x,no,DGA+TMB,yes
3.28,4x,yes,DGA+TMB,no
3.26,4x,yes,DGA+TMB,no
3.26,4x,yes,DGA+TMB,no
3.26,4x,yes,DGA+TMB,no
3.27,4x,yes,DGA+TMB,no
3.26,4x,yes,DGA+TMB,no
4.37,4x,yes,DGA+TMB,yes
4.35,4x,yes,DGA+TMB,yes
4.34,4x,yes,DGA+TMB,yes
4.33,4x,yes,DGA+TMB,yes
4.33,4x,yes,DGA+TMB,yes
4.31,4x,yes,DGA+TMB,yes
4.17,4x,yes,DGA+TMB,yes
4.17,4x,yes,DGA+TMB,yes
4.16,4x,yes,DGA+TMB,yes
4.15,4x,yes,DGA+TMB,yes
4.15,4x,yes,DGA+TMB,yes
4.16,4x,yes,DGA+TMB,yes
4.65,1x,no,DGA+TMB,yes
4.66,1x,no,DGA+TMB,yes
4.66,1x,no,DGA+TMB,yes
4.66,1x,no,DGA+TMB,yes
4.66,1x,no,DGA+TMB,yes
4.66,1x,no,DGA+TMB,yes
4.48,1x,no,DGA+TMB,yes
4.49,1x,no,DGA+TMB,yes
4.51,1x,no,DGA+TMB,yes
4.53,1x,no,DGA+TMB,yes
4.53,1x,no,DGA+TMB,yes
4.54,1x,no,DGA+TMB,yes
5.33,1x,yes,DGA+TMB,no
5.33,1x,yes,DGA+TMB,no
5.34,1x,yes,DGA+TMB,no
5.31,1x,yes,DGA+TMB,no
5.25,1x,yes,DGA+TMB,no
5.3,1x,yes,DGA+TMB,no
4.64,1x,yes,DGA+TMB,yes
4.64,1x,yes,DGA+TMB,yes
4.65,1x,yes,DGA+TMB,yes
4.64,1x,yes,DGA+TMB,yes
4.65,1x,yes,DGA+TMB,yes
4.65,1x,yes,DGA+TMB,yes
4.54,1x,yes,DGA+TMB,yes
4.53,1x,yes,DGA+TMB,yes
4.54,1x,yes,DGA+TMB,yes
4.55,1x,yes,DGA+TMB,yes
4.55,1x,yes,DGA+TMB,yes
4.57,1x,yes,DGA+TMB,yes
