ph,perch,conc,ams,dic form,gly,no grass control,gly:DMA,gly:GLY-K,conc:4x,conc:1x,dic:NA+DIF,dic:DGA,dic:DGA+CYP,dic:DGA+TMB
7.76,0.041144948,4x,no,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.77,0.04248663,4x,no,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.84,0.051878401,4x,no,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.73,0.037119903,4x,no,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.8,0.046511675,4x,no,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.87,0.055903446,4x,no,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
4.76,0.361359542,4x,no,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.75,0.362701224,4x,no,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.76,0.361359542,4x,no,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.85,0.349284407,4x,no,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.84,0.350626089,4x,no,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.85,0.349284407,4x,no,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.61,0.381484767,4x,no,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.62,0.380143085,4x,no,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.63,0.378801403,4x,no,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.8,0.355992816,4x,no,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.81,0.354651134,4x,no,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.8,0.355992816,4x,no,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
7.37,0.011180636,4x,yes,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.36,0.012522317,4x,yes,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.4,0.007155591,4x,yes,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.25,0.027280815,4x,yes,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.29,0.021914089,4x,yes,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
7.28,0.02325577,4x,yes,NA+DIF,no,yes,no,no,yes,no,yes,no,no,no
4.74,0.364042905,4x,yes,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.74,0.364042905,4x,yes,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.73,0.365384587,4x,yes,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.84,0.350626089,4x,yes,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.83,0.351967771,4x,yes,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.82,0.353309452,4x,yes,NA+DIF,yes,no,yes,no,yes,no,yes,no,no,no
4.48,0.398926628,4x,yes,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.5,0.396243265,4x,yes,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.52,0.393559901,4x,yes,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.7,0.369409632,4x,yes,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.7,0.369409632,4x,yes,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
4.7,0.369409632,4x,yes,NA+DIF,yes,no,no,yes,yes,no,yes,no,no,no
7.56,0.014311315,1x,no,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.58,0.016994679,1x,no,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.67,0.029069813,1x,no,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.63,0.023703087,1x,no,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.63,0.023703087,1x,no,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.62,0.022361405,1x,no,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
4.93,0.338550954,1x,no,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.93,0.338550954,1x,no,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.95,0.335867591,1x,no,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.99,0.330500865,1x,no,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
5.01,0.327817501,1x,no,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
5.03,0.325134138,1x,no,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.79,0.357334497,1x,no,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.84,0.350626089,1x,no,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.87,0.346601044,1x,no,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.94,0.337209273,1x,no,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.96,0.334525909,1x,no,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
5.03,0.325134138,1x,no,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
7.45,0.000447182,1x,yes,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.45,0.000447182,1x,yes,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.45,0.000447182,1x,yes,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.33,0.016547362,1x,yes,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.34,0.01520568,1x,yes,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
7.38,0.009838954,1x,yes,NA+DIF,no,yes,no,no,no,yes,yes,no,no,no
4.95,0.335867591,1x,yes,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.95,0.335867591,1x,yes,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.96,0.334525909,1x,yes,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
5.09,0.317084048,1x,yes,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
5.07,0.319767411,1x,yes,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.99,0.330500865,1x,yes,NA+DIF,yes,no,yes,no,no,yes,yes,no,no,no
4.78,0.358676179,1x,yes,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.79,0.357334497,1x,yes,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.79,0.357334497,1x,yes,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.98,0.331842546,1x,yes,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.99,0.330500865,1x,yes,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
4.99,0.330500865,1x,yes,NA+DIF,yes,no,no,yes,no,yes,yes,no,no,no
7.18,0.036672587,4x,no,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.19,0.035330905,4x,no,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.21,0.032647542,4x,no,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.16,0.03935595,4x,no,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.16,0.03935595,4x,no,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.15,0.040697632,4x,no,DGA,no,yes,no,no,yes,no,no,yes,no,no
4.65,0.37611804,4x,no,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.66,0.374776358,4x,no,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.67,0.373434677,4x,no,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.76,0.361359542,4x,no,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.76,0.361359542,4x,no,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.74,0.364042905,4x,no,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.61,0.381484767,4x,no,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.58,0.385509812,4x,no,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.61,0.381484767,4x,no,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.69,0.370751314,4x,no,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.69,0.370751314,4x,no,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.68,0.372092995,4x,no,DGA,yes,no,no,yes,yes,no,no,yes,no,no
7.19,0.035330905,4x,yes,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.2,0.033989223,4x,yes,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.15,0.040697632,4x,yes,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.16,0.03935595,4x,yes,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.15,0.040697632,4x,yes,DGA,no,yes,no,no,yes,no,no,yes,no,no
7.14,0.042039313,4x,yes,DGA,no,yes,no,no,yes,no,no,yes,no,no
4.67,0.373434677,4x,yes,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.67,0.373434677,4x,yes,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.67,0.373434677,4x,yes,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.75,0.362701224,4x,yes,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.74,0.364042905,4x,yes,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.74,0.364042905,4x,yes,DGA,yes,no,yes,no,yes,no,no,yes,no,no
4.59,0.38416813,4x,yes,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.54,0.390876538,4x,yes,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.58,0.385509812,4x,yes,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.66,0.374776358,4x,yes,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.65,0.37611804,4x,yes,DGA,yes,no,no,yes,yes,no,no,yes,no,no
4.64,0.377459722,4x,yes,DGA,yes,no,no,yes,yes,no,no,yes,no,no
