ph,perch,enl form,conc,ams,gly,dim,no grass control,conc: 4x,conc: 1x,gly:DMA,gly:GLY-K,enl 1,enl duo
6.55,0.133788885,enlone,4x,no,no,no,yes,yes,no,no,no,yes,no
6.54,0.135111345,enlone,4x,no,no,no,yes,yes,no,no,no,yes,no
6.56,0.132466426,enlone,4x,no,no,no,yes,yes,no,no,no,yes,no
6.63,0.123209208,enlone,4x,no,no,no,yes,yes,no,no,no,yes,no
6.62,0.124531667,enlone,4x,no,no,no,yes,yes,no,no,no,yes,no
6.67,0.117919369,enlone,4x,no,no,no,yes,yes,no,no,no,yes,no
4.92,0.349349819,enlone,4x,no,yes,no,no,yes,no,yes,no,yes,no
4.93,0.34802736,enlone,4x,no,yes,no,no,yes,no,yes,no,yes,no
4.93,0.34802736,enlone,4x,no,yes,no,no,yes,no,yes,no,yes,no
4.93,0.34802736,enlone,4x,no,yes,no,no,yes,no,yes,no,yes,no
4.94,0.3467049,enlone,4x,no,yes,no,no,yes,no,yes,no,yes,no
4.93,0.34802736,enlone,4x,no,yes,no,no,yes,no,yes,no,yes,no
4.95,0.34538244,enlone,4x,no,yes,no,no,yes,no,no,yes,yes,no
4.96,0.34405998,enlone,4x,no,yes,no,no,yes,no,no,yes,yes,no
4.97,0.342737521,enlone,4x,no,yes,no,no,yes,no,no,yes,yes,no
4.96,0.34405998,enlone,4x,no,yes,no,no,yes,no,no,yes,yes,no
4.97,0.342737521,enlone,4x,no,yes,no,no,yes,no,no,yes,yes,no
5,0.338770142,enlone,4x,no,yes,no,no,yes,no,no,yes,yes,no
6.43,0.149658402,enlone,4x,no,no,yes,no,yes,no,no,no,yes,no
6.47,0.144368563,enlone,4x,no,no,yes,no,yes,no,no,no,yes,no
6.46,0.145691023,enlone,4x,no,no,yes,no,yes,no,no,no,yes,no
6.57,0.131143966,enlone,4x,no,no,yes,no,yes,no,no,no,yes,no
6.5,0.140401184,enlone,4x,no,no,yes,no,yes,no,no,no,yes,no
6.53,0.136433805,enlone,4x,no,no,yes,no,yes,no,no,no,yes,no
6.73,0.109984611,enlone,4x,yes,no,no,yes,yes,no,no,no,yes,no
6.71,0.11262953,enlone,4x,yes,no,no,yes,yes,no,no,no,yes,no
6.71,0.11262953,enlone,4x,yes,no,no,yes,yes,no,no,no,yes,no
6.8,0.100727393,enlone,4x,yes,no,no,yes,yes,no,no,no,yes,no
6.8,0.100727393,enlone,4x,yes,no,no,yes,yes,no,no,no,yes,no
6.77,0.104694772,enlone,4x,yes,no,no,yes,yes,no,no,no,yes,no
