des,trt,run,rep,ph,perch
4X AMS,1,1,1,7.12,0.055702918
4X AMS,1,1,2,7.16,0.050397878
4X AMS,1,1,3,7.13,0.054376658
4X AMS,1,2,1,7.1,0.058355438
4X AMS,1,2,2,7.1,0.058355438
4X AMS,1,2,3,7.1,0.058355438
1X AMS,2,1,1,7.27,0.035809019
1X AMS,2,1,2,7.18,0.047745358
1X AMS,2,1,3,7.25,0.038461538
1X AMS,2,2,1,7.27,0.035809019
1X AMS,2,2,2,7.21,0.043766578
1X AMS,2,2,3,7.21,0.043766578
4X Durango DMA,3,1,1,4.77,0.367374005
4X Durango DMA,3,1,2,4.74,0.371352785
4X Durango DMA,3,1,3,4.74,0.371352785
4X Durango DMA,3,2,1,4.74,0.371352785
4X Durango DMA,3,2,2,4.73,0.372679045
4X Durango DMA,3,2,3,4.73,0.372679045
1X Durango DMA,4,1,1,5,0.336870027
1X Durango DMA,4,1,2,5.02,0.334217507
1X Durango DMA,4,1,3,5.02,0.334217507
1X Durango DMA,4,2,1,5.03,0.332891247
1X Durango DMA,4,2,2,5.02,0.334217507
1X Durango DMA,4,2,3,4.99,0.338196286
4X Roundup Powermax,5,1,1,4.67,0.380636605
4X Roundup Powermax,5,1,2,4.67,0.380636605
4X Roundup Powermax,5,1,3,4.66,0.381962865
4X Roundup Powermax,5,2,1,4.65,0.383289125
4X Roundup Powermax,5,2,2,4.64,0.384615385
4X Roundup Powermax,5,2,3,4.64,0.384615385
1X Roundup Powermax,6,1,1,4.9,0.350132626
1X Roundup Powermax,6,1,2,4.89,0.351458886
1X Roundup Powermax,6,1,3,4.91,0.348806366
1X Roundup Powermax,6,2,1,4.92,0.347480106
1X Roundup Powermax,6,2,2,4.92,0.347480106
1X Roundup Powermax,6,2,3,4.94,0.344827586
4X Select Max,7,1,1,6.97,0.075596817
4X Select Max,7,1,2,6.89,0.086206897
4X Select Max,7,1,3,7,0.071618037
4X Select Max,7,2,1,6.9,0.084880637
4X Select Max,7,2,2,6.87,0.088859416
4X Select Max,7,2,3,6.88,0.087533156
1X Select Max,8,1,1,6.86,0.090185676
1X Select Max,8,1,2,6.9,0.084880637
1X Select Max,8,1,3,6.85,0.091511936
1X Select Max,8,2,1,6.77,0.102122016
1X Select Max,8,2,2,6.83,0.094164456
1X Select Max,8,2,3,6.85,0.091511936
4X Intact,9,1,1,7.24,0.039787798
4X Intact,9,1,2,7.22,0.042440318
4X Intact,9,1,3,7.22,0.042440318
4X Intact,9,2,1,7.25,0.038461538
4X Intact,9,2,2,7.27,0.035809019
4X Intact,9,2,3,7.27,0.035809019
1X Intact,10,1,1,7.33,0.027851459
1X Intact,10,1,2,7.34,0.026525199
1X Intact,10,1,3,7.33,0.027851459
1X Intact,10,2,1,7.28,0.034482759
1X Intact,10,2,2,7.39,0.019893899
1X Intact,10,2,3,7.38,0.021220159
4X Warrant,11,1,1,7.73,0.025198939
4X Warrant,11,1,2,7.75,0.027851459
4X Warrant,11,1,3,7.75,0.027851459
4X Warrant,11,2,1,7.75,0.027851459
4X Warrant,11,2,2,7.76,0.029177719
4X Warrant,11,2,3,7.75,0.027851459
1X Warrant,12,1,1,7.53,0.00132626
1X Warrant,12,1,2,7.49,0.0066313
1X Warrant,12,1,3,7.51,0.00397878
1X Warrant,12,2,1,7.55,0.00132626
1X Warrant,12,2,2,7.53,0.00132626
1X Warrant,12,2,3,7.53,0.00132626
4X Zidua,13,1,1,7.49,0.0066313
4X Zidua,13,1,2,7.48,0.00795756
4X Zidua,13,1,3,7.48,0.00795756
4X Zidua,13,2,1,7.48,0.00795756
4X Zidua,13,2,2,7.48,0.00795756
4X Zidua,13,2,3,7.5,0.00530504
1X Zidua,14,1,1,7.51,0.00397878
1X Zidua,14,1,2,7.52,0.00265252
1X Zidua,14,1,3,7.5,0.00530504
1X Zidua,14,2,1,7.5,0.00530504
1X Zidua,14,2,2,7.52,0.00265252
1X Zidua,14,2,3,7.52,0.00265252
4X Laudis,15,1,1,6.22,0.175066313
4X Laudis,15,1,2,6.2,0.177718833
4X Laudis,15,1,3,6.21,0.176392573
4X Laudis,15,2,1,6.21,0.176392573
4X Laudis,15,2,2,6.26,0.169761273
4X Laudis,15,2,3,6.33,0.160477454
1X Laudis,16,1,1,6.94,0.079575597
1X Laudis,16,1,2,6.87,0.088859416
1X Laudis,16,1,3,6.86,0.090185676
1X Laudis,16,2,1,6.87,0.088859416
1X Laudis,16,2,2,6.88,0.087533156
1X Laudis,16,2,3,6.91,0.083554377
nontreated control,17,1,1,7.58,
nontreated control,17,1,2,7.53,
nontreated control,17,1,3,7.47,
nontreated control,17,2,1,7.67,
nontreated control,17,2,2,7.53,
nontreated control,17,2,3,7.47,
