Site,Year,Siteyr,Plot,Block,Trt,Trtdes,POST,residual,CHEAL,AMBEL,ABUTH,Poaceae,AMBTR,AMATU,AMARE,Other,Overall
Arlington,2019,ARL19,101,1,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,102,1,2,PRE,none,,99,75,89,90,,,,,83
Arlington,2019,ARL19,103,1,3,E POST,A,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,104,1,4,M POST,B,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,105,1,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,106,1,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,107,1,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,108,1,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,201,2,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,202,2,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,203,2,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,204,2,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,205,2,2,PRE,none,,99,70,84,88,,,,,80
Arlington,2019,ARL19,206,2,4,M POST,B,no,99,99,99,99,,,,,98
Arlington,2019,ARL19,207,2,3,E POST,A,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,208,2,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,301,3,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,302,3,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,303,3,4,M POST,B,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,304,3,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,305,3,3,E POST,A,no,99,95,99,99,,,,,97
Arlington,2019,ARL19,306,3,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,307,3,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,308,3,2,PRE,none,,90,55,78,90,,,,,65
Arlington,2019,ARL19,401,4,4,M POST,B,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,402,4,3,E POST,A,no,99,92,99,99,,,,,95
Arlington,2019,ARL19,403,4,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,404,4,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,405,4,2,PRE,none,,95,30,90,95,,,,,55
Arlington,2019,ARL19,406,4,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,407,4,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,408,4,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Janesville,2019,ROK19,101,1,1,Check,none,,,,,,,,,,
Janesville,2019,ROK19,102,1,2,PRE,none,,95,,99,75,5,,,,10
Janesville,2019,ROK19,103,1,3,E POST,A,no,99,,99,99,80,,,,85
Janesville,2019,ROK19,104,1,4,M POST,B,no,99,,99,94,99,,,,96
Janesville,2019,ROK19,105,1,5,L POST,C,no,99,,99,99,92,,,,95
Janesville,2019,ROK19,106,1,6,E POST with residual,A,yes,99,,99,95,90,,,,92
Janesville,2019,ROK19,107,1,7,M POST with residual,B,yes,99,,99,99,93,,,,94
Janesville,2019,ROK19,108,1,8,L POST with residual,C,yes,99,,99,92,93,,,,90
Janesville,2019,ROK19,201,2,6,E POST with residual,A,yes,99,,99,99,74,,,,79
Janesville,2019,ROK19,202,2,5,L POST,C,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,203,2,7,M POST with residual,B,yes,99,,99,99,99,,,,99
Janesville,2019,ROK19,204,2,2,PRE,none,,99,,70,70,10,,,,15
Janesville,2019,ROK19,205,2,8,L POST with residual,C,yes,99,,99,90,95,,,,92
Janesville,2019,ROK19,206,2,1,Check,none,,,,,,,,,,
Janesville,2019,ROK19,207,2,3,E POST,A,no,99,,99,92,78,,,,85
Janesville,2019,ROK19,208,2,4,M POST,B,no,99,,99,90,90,,,,92
Janesville,2019,ROK19,301,3,7,M POST with residual,B,yes,99,,99,99,90,,,,94
Janesville,2019,ROK19,302,3,1,Check,none,,,,,,,,,,
Janesville,2019,ROK19,303,3,4,M POST,B,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,304,3,6,E POST with residual,A,yes,99,,99,99,83,,,,85
Janesville,2019,ROK19,305,3,3,E POST,A,no,99,,99,94,75,,,,79
Janesville,2019,ROK19,306,3,8,L POST with residual,C,yes,99,,99,99,99,,,,99
Janesville,2019,ROK19,307,3,5,L POST,C,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,308,3,2,PRE,none,,99,,99,85,1,,,,8
Janesville,2019,ROK19,401,4,8,L POST with residual,C,yes,99,,99,92,95,,,,95
Janesville,2019,ROK19,402,4,3,E POST,A,no,99,,99,89,75,,,,80
Janesville,2019,ROK19,403,4,6,E POST with residual,A,yes,99,,99,85,70,,,,75
Janesville,2019,ROK19,404,4,7,M POST with residual,B,yes,99,,99,99,99,,,,99
Janesville,2019,ROK19,405,4,5,L POST,C,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,406,4,2,PRE,none,,99,,90,80,5,,,,10
Janesville,2019,ROK19,407,4,4,M POST,B,no,99,,99,99,99,,,,99
