Site,Year,Siteyr,Trt,Subsample,AMBEL,mAMBEL,CHEAL,mCHEAL,AMBTR,mAMBTR,AMATU,mAMATU
Arlington,2019,ARL19,NTC,101-1,1,10.8,,,,,,
Arlington,2019,ARL19,NTC,101-2,0,0.0,,,,,,
Arlington,2019,ARL19,NTC,204-1,0,0.0,,,,,,
Arlington,2019,ARL19,NTC,204-2,3,32.3,,,,,,
Arlington,2019,ARL19,NTC,302-1,4,43.1,,,,,,
Arlington,2019,ARL19,NTC,302-2,0,0.0,,,,,,
Arlington,2019,ARL19,NTC,407-1,4,43.1,,,,,,
Arlington,2019,ARL19,NTC,407-2,4,43.1,,,,,,
Arlington,2019,ARL19,PRE,102-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,102-2,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,205-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,205-2,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,308-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,308-2,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,405-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,405-2,0,0.0,,,,,,
Janesville,2019,ROK19,NTC,101-1,,,,,17,183.0,,
Janesville,2019,ROK19,NTC,101-2,,,,,19,204.5,,
Janesville,2019,ROK19,NTC,206-1,,,,,5,53.8,,
Janesville,2019,ROK19,NTC,206-2,,,,,5,53.8,,
Janesville,2019,ROK19,NTC,302-1,,,,,12,129.2,,
Janesville,2019,ROK19,NTC,302-2,,,,,28,301.4,,
Janesville,2019,ROK19,NTC,408-1,,,,,16,172.2,,
Janesville,2019,ROK19,NTC,408-2,,,,,16,172.2,,
Janesville,2019,ROK19,PRE,102-1,,,,,10,107.6,,
Janesville,2019,ROK19,PRE,102-2,,,,,3,32.3,,
Janesville,2019,ROK19,PRE,204-1,,,,,4,43.1,,
Janesville,2019,ROK19,PRE,204-2,,,,,3,32.3,,
Janesville,2019,ROK19,PRE,308-1,,,,,11,118.4,,
Janesville,2019,ROK19,PRE,308-2,,,,,12,129.2,,
Janesville,2019,ROK19,PRE,406-1,,,,,18,193.8,,
Janesville,2019,ROK19,PRE,406-2,,,,,15,161.5,,
Lancaster,2019,LAN19,NTC,101-1,,,1,10.8,,,,
Lancaster,2019,LAN19,NTC,101-2,,,0,0.0,,,,
