Site,Year,Siteyr,Trt,Subsample,AMBEL,mAMBEL,CHEAL,mCHEAL,AMBTR,mAMBTR,AMATU,mAMATU,ABUTH,mABUTH,AMARE,mAMARE,PERMA,mPERMA,SETVI,mSETVI,ECHCG,mECHCG,ERIVI,mERIVI,POROL,mPOROL,Poacece,mPoaceae,SETPU,mSETPU,TAROF,mTAROF,CERFO,mCERFO,HIBTR,mHIBTR,SETFA,mSETFA
Arlington,2019,ARL19,NTC,101-1,1,10.8,0,0.0,,,,,2,21.5,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,NTC,101-2,0,0.0,4,43.1,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,NTC,204-1,0,0.0,0,0.0,,,,,2,21.5,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,NTC,204-2,3,32.3,2,21.5,,,,,1,10.8,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,NTC,302-1,4,43.1,2,21.5,,,,,1,10.8,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,NTC,302-2,0,0.0,1,10.8,,,,,2,21.5,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,NTC,407-1,4,43.1,2,21.5,,,,,1,10.8,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,NTC,407-2,4,43.1,1,10.8,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,102-1,0,0.0,1,10.8,,,,,2,21.5,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,102-2,0,0.0,1,10.8,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,205-1,0,0.0,0,0.0,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,205-2,0,0.0,0,0.0,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,308-1,0,0.0,0,0.0,,,,,1,10.8,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,308-2,0,0.0,0,0.0,,,,,2,21.5,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,405-1,0,0.0,1,10.8,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,2019,ARL19,PRE,405-2,0,0.0,0,0.0,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,101-1,,,17,183.0,17,183.0,,,0,0.0,,,,,,,2,21.5,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,101-2,,,19,204.5,19,204.5,,,0,0.0,,,,,,,2,21.5,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,206-1,,,6,64.6,5,53.8,,,0,0.0,,,,,,,9,96.9,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,206-2,,,13,139.9,5,53.8,,,0,0.0,,,,,,,17,183.0,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,302-1,,,11,118.4,12,129.2,,,2,21.5,,,,,,,14,150.7,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,302-2,,,9,96.9,28,301.4,,,1,10.8,,,,,,,13,139.9,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,408-1,,,0,0.0,16,172.2,,,0,0.0,,,,,,,2,21.5,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,NTC,408-2,,,1,10.8,16,172.2,,,0,0.0,,,,,,,13,139.9,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,102-1,,,0,0.0,10,107.6,,,0,0.0,,,,,,,1,10.8,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,102-2,,,0,0.0,3,32.3,,,0,0.0,,,,,,,1,10.8,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,204-1,,,0,0.0,4,43.1,,,0,0.0,,,,,,,0,0.0,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,204-2,,,1,10.8,3,32.3,,,0,0.0,,,,,,,1,10.8,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,308-1,,,0,0.0,11,118.4,,,0,0.0,,,,,,,1,10.8,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,308-2,,,0,0.0,12,129.2,,,0,0.0,,,,,,,0,0.0,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,406-1,,,0,0.0,18,193.8,,,0,0.0,,,,,,,1,10.8,,,,,,,,,,,,,,,,
Janesville,2019,ROK19,PRE,406-2,,,0,0.0,15,161.5,,,0,0.0,,,,,,,3,32.3,,,,,,,,,,,,,,,,
Lancaster,2019,LAN19,NTC,101-1,,,1,10.8,,,6,64.6,,,,,,,0,0.0,,,,,,,,,,,0,0.0,,,,,1,10.8
Lancaster,2019,LAN19,NTC,101-2,,,0,0.0,,,0,0.0,,,,,,,1,10.8,,,,,,,,,,,0,0.0,,,,,0,0.0
Lancaster,2019,LAN19,NTC,206-1,,,4,43.1,,,10,107.6,,,,,,,2,21.5,,,,,,,,,,,3,32.3,,,,,0,0.0
Lancaster,2019,LAN19,NTC,206-2,,,2,21.5,,,7,75.3,,,,,,,2,21.5,,,,,,,,,,,1,10.8,,,,,0,0.0
Lancaster,2019,LAN19,NTC,303-1,,,3,32.3,,,9,96.9,,,,,,,0,0.0,,,,,,,,,,,2,21.5,,,,,0,0.0
Lancaster,2019,LAN19,NTC,303-2,,,4,43.1,,,3,32.3,,,,,,,0,0.0,,,,,,,,,,,3,32.3,,,,,1,10.8
